bmm,layer_class,batch,m,k,n,us,tflops,gbps,sm_mhz,power_w,relerr,backend
A5_w_kc,full,128,1,128,512,9.603,1.75,519.52,2062,229.2,1.3464e-01,CUTLASS
A5_w_kc,full,128,1,128,512,9.411,1.78,530.12,2062,229.2,1.3462e-01,CUBLASLT
A5_w_kc,full,128,2,128,512,9.683,3.47,529.61,2062,229.4,1.3408e-01,CUTLASS
A5_w_kc,full,128,2,128,512,5.683,5.90,902.37,2062,238.0,1.3405e-01,CUBLASLT
A5_w_kc,full,128,4,128,512,9.706,6.91,557.05,2062,229.2,1.3437e-01,CUTLASS
A5_w_kc,full,128,4,128,512,5.869,11.43,921.23,2062,230.4,1.3436e-01,CUBLASLT
A5_w_kc,full,128,8,128,512,9.632,13.93,619.16,2062,229.2,1.3422e-01,CUTLASS
A5_w_kc,full,128,8,128,512,5.949,22.56,1002.48,2062,230.3,1.3420e-01,CUBLASLT
A5_w_kc,full,128,16,128,512,9.606,27.94,736.82,2062,229.2,1.3444e-01,CUTLASS
A5_w_kc,full,128,16,128,512,6.003,44.72,1179.06,2062,231.2,1.3443e-01,CUBLASLT
A5_w_kc,full,128,32,128,512,9.482,56.62,981.45,2062,229.2,1.3430e-01,CUTLASS
A5_w_kc,full,128,32,128,512,6.288,85.38,1479.98,2062,229.2,1.3428e-01,CUBLASLT
A5_w_kc,full,128,64,128,512,9.478,113.29,1452.05,2062,229.2,1.3444e-01,CUTLASS
A5_w_kc,full,128,64,128,512,6.323,169.82,2176.59,2062,231.4,1.3443e-01,CUBLASLT
A5_w_kc,full,128,128,128,512,9.814,218.82,2310.52,2062,229.2,1.3447e-01,CUTLASS
A5_w_kc,full,128,128,128,512,6.682,321.38,3393.51,2062,235.5,1.3447e-01,CUBLASLT
A5_w_kc,full,128,256,128,512,13.482,318.57,3013.82,2062,229.2,1.3440e-01,CUTLASS
A5_w_kc,full,128,256,128,512,9.389,457.45,4327.65,2062,236.2,1.3439e-01,CUBLASLT
A5_w_kc,full,128,1024,128,512,40.682,422.30,3647.15,2062,229.3,1.3435e-01,CUTLASS
A5_w_kc,full,128,1024,128,512,28.624,600.19,5183.53,2062,229.3,1.3435e-01,CUBLASLT
A5_w_kc,full,128,2048,128,512,77.530,443.18,3766.65,2062,229.2,1.3439e-01,CUTLASS
A5_w_kc,full,128,2048,128,512,47.075,729.89,6203.47,2062,229.2,1.3438e-01,CUBLASLT
A5_w_kc,full,128,4096,128,512,151.210,454.46,3831.35,2062,229.4,1.3441e-01,CUTLASS
A5_w_kc,full,128,4096,128,512,92.061,746.46,6292.98,2062,238.5,1.3441e-01,CUBLASLT
A5_w_kc,full,128,8192,128,512,298.538,460.37,3865.36,2062,229.5,1.3443e-01,CUTLASS
A5_w_kc,full,128,8192,128,512,182.679,752.35,6316.86,2062,236.8,1.3444e-01,CUBLASLT
A5_w_kc,full,128,16384,128,512,592.457,463.96,3887.53,2062,229.7,1.3441e-01,CUTLASS
A5_w_kc,full,128,16384,128,512,360.586,762.31,6387.37,2062,234.7,1.3440e-01,CUBLASLT
