bmm,layer_class,batch,m,k,n,us,tflops,gbps,sm_mhz,power_w,relerr,backend
A7_w_vc,full,128,1,512,128,6.131,2.74,865.83,2062,229.6,1.3426e-01,CUTLASS
A7_w_vc,full,128,1,512,128,8.045,2.09,659.84,2062,230.0,1.3426e-01,CUBLASLT
A7_w_vc,full,128,2,512,128,5.763,5.82,932.49,2062,229.3,1.3359e-01,CUTLASS
A7_w_vc,full,128,2,512,128,4.554,7.37,1180.05,2062,229.5,1.3358e-01,CUBLASLT
A7_w_vc,full,128,4,512,128,5.965,11.25,922.89,2062,229.8,1.3413e-01,CUTLASS
A7_w_vc,full,128,4,512,128,4.512,14.87,1220.09,2062,236.7,1.3413e-01,CUBLASLT
A7_w_vc,full,128,8,512,128,5.984,22.43,963.76,2062,229.8,1.3427e-01,CUTLASS
A7_w_vc,full,128,8,512,128,4.576,29.33,1260.31,2062,229.8,1.3425e-01,CUBLASLT
A7_w_vc,full,128,16,512,128,6.032,44.50,1043.01,2062,229.4,1.3454e-01,CUTLASS
A7_w_vc,full,128,16,512,128,4.576,58.66,1374.88,2062,236.2,1.3453e-01,CUBLASLT
A7_w_vc,full,128,32,512,128,6.067,88.49,1209.83,2062,230.0,1.3431e-01,CUTLASS
A7_w_vc,full,128,32,512,128,4.842,110.88,1515.91,2062,237.2,1.3430e-01,CUBLASLT
A7_w_vc,full,128,64,512,128,6.262,171.47,1507.06,2062,229.7,1.3436e-01,CUTLASS
A7_w_vc,full,128,64,512,128,5.107,210.25,1847.89,2062,229.7,1.3435e-01,CUBLASLT
A7_w_vc,full,128,128,512,128,6.656,322.64,2048.00,2062,229.9,1.3438e-01,CUTLASS
A7_w_vc,full,128,128,512,128,5.824,368.73,2340.57,2062,229.9,1.3438e-01,CUBLASLT
A7_w_vc,full,128,256,512,128,8.794,488.40,2563.61,2062,229.6,1.3431e-01,CUTLASS
A7_w_vc,full,128,256,512,128,6.784,633.10,3323.17,2062,233.6,1.3430e-01,CUBLASLT
A7_w_vc,full,128,1024,512,128,17.027,1008.98,4464.78,2062,229.2,1.3440e-01,CUTLASS
A7_w_vc,full,128,1024,512,128,14.765,1163.55,5148.78,2062,237.6,1.3439e-01,CUBLASLT
A7_w_vc,full,128,2048,512,128,29.962,1146.78,4917.06,2062,229.2,1.3440e-01,CUTLASS
A7_w_vc,full,128,2048,512,128,25.533,1345.70,5769.98,2062,237.6,1.3441e-01,CUBLASLT
A7_w_vc,full,128,4096,512,128,52.250,1315.21,5548.92,2062,229.6,1.3439e-01,CUTLASS
A7_w_vc,full,128,4096,512,128,44.685,1537.86,6488.34,2062,231.9,1.3438e-01,CUBLASLT
A7_w_vc,full,128,8192,512,128,96.356,1426.37,5968.95,2062,229.5,1.3442e-01,CUTLASS
A7_w_vc,full,128,8192,512,128,87.056,1578.74,6606.60,2062,230.0,1.3440e-01,CUBLASLT
A7_w_vc,full,128,16384,512,128,176.644,1556.11,6485.19,2062,229.1,1.3438e-01,CUTLASS
A7_w_vc,full,128,16384,512,128,166.349,1652.42,6886.54,2062,229.1,1.3436e-01,CUBLASLT
