bmm,layer_class,batch,m,k,n,us,tflops,gbps,sm_mhz,power_w,relerr,backend
C7_w_vc,swa_mtp,64,1,1024,128,7.443,2.25,711.01,2062,232.6,1.3417e-01,CUBLASLT
C7_w_vc,swa_mtp,64,1,1024,128,5.264,3.19,1005.33,2062,229.2,1.3418e-01,CUTLASS
C7_w_vc,swa_mtp,64,2,1024,128,4.951,6.78,1078.81,2062,231.8,1.3298e-01,CUBLASLT
C7_w_vc,swa_mtp,64,2,1024,128,5.309,6.32,1006.06,2062,229.2,1.3298e-01,CUTLASS
C7_w_vc,swa_mtp,64,4,1024,128,4.890,13.72,1112.37,2062,235.0,1.3393e-01,CUBLASLT
C7_w_vc,swa_mtp,64,4,1024,128,5.376,12.48,1011.81,2062,229.5,1.3394e-01,CUTLASS
C7_w_vc,swa_mtp,64,8,1024,128,4.890,27.45,1152.58,2062,236.4,1.3380e-01,CUBLASLT
C7_w_vc,swa_mtp,64,8,1024,128,5.430,24.72,1037.96,2062,229.4,1.3383e-01,CUTLASS
C7_w_vc,swa_mtp,64,16,1024,128,5.085,52.79,1185.71,2062,229.9,1.3453e-01,CUBLASLT
C7_w_vc,swa_mtp,64,16,1024,128,5.482,48.97,1099.84,2062,229.4,1.3454e-01,CUTLASS
C7_w_vc,swa_mtp,64,32,1024,128,5.165,103.94,1319.60,2062,234.1,1.3438e-01,CUBLASLT
C7_w_vc,swa_mtp,64,32,1024,128,5.530,97.08,1232.50,2062,229.8,1.3439e-01,CUTLASS
C7_w_vc,swa_mtp,64,64,1024,128,5.383,199.47,1558.35,2062,229.7,1.3430e-01,CUBLASLT
C7_w_vc,swa_mtp,64,64,1024,128,5.664,189.57,1481.04,2062,229.7,1.3431e-01,CUTLASS
C7_w_vc,swa_mtp,64,128,1024,128,5.910,363.36,1951.66,2062,230.0,1.3452e-01,CUBLASLT
C7_w_vc,swa_mtp,64,128,1024,128,6.266,342.72,1840.78,2062,230.0,1.3453e-01,CUTLASS
C7_w_vc,swa_mtp,64,129,1024,128,6.054,357.49,1999.96,2062,229.4,1.3441e-01,CUBLASLT
C7_w_vc,swa_mtp,64,129,1024,128,6.835,316.64,1771.44,2062,229.4,1.3442e-01,CUTLASS
C7_w_vc,swa_mtp,64,256,1024,128,6.794,632.17,2700.92,2062,229.9,1.3435e-01,CUBLASLT
C7_w_vc,swa_mtp,64,256,1024,128,7.600,565.13,2414.48,2062,229.9,1.3435e-01,CUTLASS
C7_w_vc,swa_mtp,64,257,1024,128,7.712,559.10,2453.78,2062,229.5,1.3432e-01,CUBLASLT
C7_w_vc,swa_mtp,64,257,1024,128,8.922,483.27,2121.00,2062,229.5,1.3432e-01,CUTLASS
C7_w_vc,swa_mtp,64,512,1024,128,9.479,906.21,3373.94,2062,229.6,1.3445e-01,CUBLASLT
C7_w_vc,swa_mtp,64,512,1024,128,10.227,839.93,3127.17,2062,229.3,1.3446e-01,CUTLASS
C7_w_vc,swa_mtp,64,513,1024,128,9.306,924.86,3498.28,2062,234.5,1.3442e-01,CUBLASLT
C7_w_vc,swa_mtp,64,513,1024,128,11.386,755.90,2859.21,2062,229.3,1.3443e-01,CUTLASS
C7_w_vc,swa_mtp,64,1024,1024,128,13.306,1291.14,4452.47,2062,231.9,1.3442e-01,CUBLASLT
C7_w_vc,swa_mtp,64,1024,1024,128,15.507,1107.88,3820.50,2062,231.9,1.3443e-01,CUTLASS
C7_w_vc,swa_mtp,64,1536,1024,128,17.629,1461.78,4907.11,2062,234.0,1.3446e-01,CUBLASLT
C7_w_vc,swa_mtp,64,1536,1024,128,19.667,1310.31,4398.61,2062,229.1,1.3447e-01,CUTLASS
C7_w_vc,swa_mtp,64,2048,1024,128,21.654,1586.76,5254.02,2062,234.5,1.3439e-01,CUBLASLT
C7_w_vc,swa_mtp,64,2048,1024,128,23.414,1467.49,4859.08,2062,230.9,1.3439e-01,CUTLASS
C7_w_vc,swa_mtp,64,4096,1024,128,37.360,1839.39,5964.20,2062,233.0,1.3439e-01,CUBLASLT
C7_w_vc,swa_mtp,64,4096,1024,128,39.735,1729.44,5607.71,2062,232.1,1.3440e-01,CUTLASS
C7_w_vc,swa_mtp,64,5120,1024,128,44.349,1936.89,6253.77,2062,237.0,1.3436e-01,CUBLASLT
C7_w_vc,swa_mtp,64,5120,1024,128,47.280,1816.82,5866.08,2062,229.4,1.3436e-01,CUTLASS
C7_w_vc,swa_mtp,64,8192,1024,128,67.812,2026.76,6502.19,2062,243.5,1.3440e-01,CUBLASLT
C7_w_vc,swa_mtp,64,8192,1024,128,72.106,1906.07,6114.97,2062,232.1,1.3442e-01,CUTLASS
C7_w_vc,swa_mtp,64,10240,1024,128,82.759,2075.89,6645.54,2062,229.2,1.3437e-01,CUBLASLT
C7_w_vc,swa_mtp,64,10240,1024,128,88.580,1939.47,6208.83,2062,229.2,1.3437e-01,CUTLASS
C7_w_vc,swa_mtp,64,16384,1024,128,128.176,2144.53,6843.20,2062,234.4,1.3436e-01,CUBLASLT
C7_w_vc,swa_mtp,64,16384,1024,128,135.942,2022.02,6452.27,2062,230.8,1.3437e-01,CUTLASS
C7_w_vc,swa_mtp,64,20480,1024,128,157.844,2176.82,6938.73,2062,229.8,1.3437e-01,CUBLASLT
C7_w_vc,swa_mtp,64,20480,1024,128,169.607,2025.84,6457.50,2062,229.1,1.3438e-01,CUTLASS
