variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
tp1,1,5120,13824,24.448,5.79,1633.71,2062,425.5,CUTLASS
tp1,1,5120,13824,13.210,10.72,3023.53,2062,421.2,CUBLASLT
tp1,2,5120,13824,24.454,11.58,1634.01,2062,421.1,CUTLASS
tp1,2,5120,13824,12.800,22.12,3121.72,2062,419.4,CUBLASLT
tp1,4,5120,13824,24.438,23.17,1636.48,2062,419.5,CUTLASS
tp1,4,5120,13824,12.790,44.27,3126.84,2062,420.2,CUBLASLT
tp1,8,5120,13824,24.528,46.17,1633.27,2062,420.2,CUTLASS
tp1,8,5120,13824,13.056,86.74,3068.39,2062,421.8,CUBLASLT
tp1,16,5120,13824,24.486,92.50,1641.68,2062,424.2,CUTLASS
tp1,16,5120,13824,13.053,173.52,3079.61,2062,424.2,CUBLASLT
tp1,32,5120,13824,24.442,185.33,1655.86,2062,431.4,CUTLASS
tp1,32,5120,13824,16.355,276.97,2474.63,2062,431.9,CUBLASLT
tp1,64,5120,13824,24.602,368.25,1667.40,2062,431.7,CUTLASS
tp1,64,5120,13824,16.410,552.08,2499.78,2062,430.7,CUBLASLT
tp1,128,5120,13824,24.976,725.47,1686.39,2062,430.7,CUTLASS
tp1,128,5120,13824,16.515,1097.15,2550.36,2062,437.1,CUBLASLT
tp1,256,5120,13824,25.059,1446.14,1772.82,2062,439.3,CUTLASS
tp1,256,5120,13824,16.883,2146.47,2631.36,2062,439.4,CUBLASLT
tp1,1024,5120,13824,43.421,3338.36,1341.78,2062,444.0,CUTLASS
tp1,1024,5120,13824,37.242,3892.25,1564.40,2062,440.1,CUBLASLT
tp1,2048,5120,13824,65.408,4432.34,1172.79,2062,433.3,CUTLASS
tp1,2048,5120,13824,69.123,4194.12,1109.76,2062,426.5,CUBLASLT
tp1,4096,5120,13824,109.047,5317.16,1041.81,2062,426.7,CUTLASS
tp1,4096,5120,13824,107.245,5406.50,1059.32,2062,423.8,CUBLASLT
tp1,8192,5120,13824,194.500,5962.17,963.50,2062,423.2,CUTLASS
tp1,8192,5120,13824,187.841,6173.53,997.65,2062,428.3,CUBLASLT
tp1,16384,5120,13824,354.222,6547.54,945.70,2062,430.8,CUTLASS
tp1,16384,5120,13824,346.445,6694.52,966.93,2062,436.2,CUBLASLT
tp4,1,5120,3456,10.883,3.25,918.21,2062,443.9,CUTLASS
tp4,1,5120,3456,7.437,4.76,1343.67,2062,443.9,CUBLASLT
tp4,2,5120,3456,10.938,6.47,914.69,2062,450.6,CUTLASS
tp4,2,5120,3456,7.366,9.61,1358.25,2062,450.6,CUBLASLT
tp4,4,5120,3456,10.928,12.95,917.72,2062,451.1,CUTLASS
tp4,4,5120,3456,7.405,19.12,1354.33,2062,451.5,CUBLASLT
tp4,8,5120,3456,10.998,25.74,916.23,2062,450.8,CUTLASS
tp4,8,5120,3456,7.325,38.65,1375.65,2062,444.7,CUBLASLT
tp4,16,5120,3456,10.954,51.69,928.65,2062,444.6,CUTLASS
tp4,16,5120,3456,7.520,75.30,1352.71,2062,440.3,CUBLASLT
tp4,32,5120,3456,10.883,104.06,952.30,2062,438.4,CUTLASS
tp4,32,5120,3456,7.453,151.95,1390.57,2062,435.3,CUBLASLT
tp4,64,5120,3456,11.027,205.40,974.60,2062,445.3,CUTLASS
tp4,64,5120,3456,7.498,302.07,1433.30,2062,445.3,CUBLASLT
tp4,128,5120,3456,11.312,400.45,1017.75,2062,441.2,CUTLASS
tp4,128,5120,3456,7.616,594.78,1511.66,2062,440.8,CUBLASLT
tp4,256,5120,3456,11.325,799.97,1154.29,2062,447.4,CUTLASS
tp4,256,5120,3456,7.635,1186.60,1712.17,2062,453.9,CUBLASLT
tp4,1024,5120,3456,16.070,2255.06,1395.75,2062,451.5,CUTLASS
tp4,1024,5120,3456,13.366,2711.27,1678.12,2062,441.3,CUBLASLT
tp4,2048,5120,3456,21.805,3323.90,1600.83,2062,441.3,CUTLASS
tp4,2048,5120,3456,19.178,3779.20,1820.11,2062,429.3,CUBLASLT
tp4,4096,5120,3456,33.680,4303.89,1777.28,2062,428.6,CUTLASS
