variant,E,n,k,T,sum_m,us,tflops,gbps,sm_mhz,power_w,backend
tp1,257,5120,1536,1,9,21.597,6.55,1853.16,2062,225.5,CUTLASS
tp1,257,5120,1536,1,9,39.776,3.56,1006.20,2062,223.4,CUBLASLT
tp1,257,5120,1536,2,18,31.171,9.08,2425.64,2062,241.2,CUTLASS
tp1,257,5120,1536,2,18,47.322,5.98,1597.77,2062,245.8,CUBLASLT
tp1,257,5120,1536,4,36,49.139,11.52,2716.28,2062,260.6,CUTLASS
tp1,257,5120,1536,4,36,57.306,9.88,2329.17,2062,284.8,CUBLASLT
tp1,257,5120,1536,8,72,76.692,14.77,3191.61,2062,306.5,CUTLASS
tp1,257,5120,1536,8,72,77.168,14.68,3171.92,2062,308.2,CUBLASLT
tp1,257,5120,1536,16,144,123.722,18.31,3634.10,2062,331.4,CUTLASS
tp1,257,5120,1536,16,144,110.493,20.50,4069.20,2062,338.0,CUBLASLT
tp1,257,5120,1536,32,288,190.874,23.73,3828.02,2062,367.5,CUTLASS
tp1,257,5120,1536,32,288,159.972,28.32,4567.48,2062,376.2,CUBLASLT
tp1,257,5120,1536,64,576,245.668,36.88,4106.64,2062,402.8,CUTLASS
tp1,257,5120,1536,64,576,208.426,43.47,4840.42,2062,416.3,CUBLASLT
tp1,257,5120,1536,128,1152,271.607,66.71,4162.43,2062,441.3,CUTLASS
tp1,257,5120,1536,128,1152,228.289,79.37,4952.25,2062,436.4,CUBLASLT
tp1,257,5120,1536,256,2304,278.900,129.93,4178.62,2062,451.5,CUTLASS
tp1,257,5120,1536,256,2304,233.434,155.24,4992.50,2062,449.5,CUBLASLT
tp1,257,5120,1536,1024,9216,284.139,510.16,4369.62,2062,451.8,CUTLASS
tp1,257,5120,1536,1024,9216,243.684,594.85,5095.04,2062,452.5,CUBLASLT
tp1,257,5120,1536,2048,18432,292.010,992.81,4599.59,2062,450.9,CUTLASS
tp1,257,5120,1536,2048,18432,254.247,1140.27,5282.77,2062,438.8,CUBLASLT
tp1,257,5120,1536,4096,36864,422.014,1373.94,3667.38,2062,444.0,CUTLASS
tp1,257,5120,1536,4096,36864,457.598,1267.10,3382.20,2062,445.5,CUBLASLT
tp1,257,5120,1536,8192,73728,691.589,1676.78,2829.75,2062,461.9,CUTLASS
tp1,257,5120,1536,8192,73728,508.161,2282.03,3851.19,2062,463.6,CUBLASLT
tp1,257,5120,1536,16384,147456,1164.000,1992.51,2384.70,2062,465.1,CUTLASS
tp1,257,5120,1536,16384,147456,877.675,2642.53,3162.66,2062,472.4,CUBLASLT
tp4,257,5120,384,1,9,13.421,2.64,750.68,2062,216.4,CUTLASS
tp4,257,5120,384,1,9,35.786,0.99,281.53,2062,222.0,CUBLASLT
tp4,257,5120,384,2,18,17.926,3.95,1062.18,2062,243.8,CUTLASS
tp4,257,5120,384,2,18,39.869,1.78,477.58,2062,252.4,CUBLASLT
tp4,257,5120,384,4,36,26.243,5.39,1282.07,2062,273.1,CUTLASS
tp4,257,5120,384,4,36,45.536,3.11,738.87,2062,280.4,CUBLASLT
tp4,257,5120,384,8,72,43.008,6.58,1435.68,2062,306.2,CUTLASS
tp4,257,5120,384,8,72,58.474,4.84,1055.95,2062,306.2,CUBLASLT
