variant,E,n,k,T,sum_m,us,tflops,gbps,sm_mhz,power_w,backend
tp1,257,5120,1536,1,9,44.615,3.17,1639.63,2062,229.8,CUBLASLT
tp1,257,5120,1536,1,9,22.698,6.24,3222.84,2062,232.5,CUTLASS
tp1,257,5120,1536,2,18,54.090,5.23,2554.77,2062,249.4,CUBLASLT
tp1,257,5120,1536,2,18,34.557,8.19,3998.84,2062,232.8,CUTLASS
tp1,257,5120,1536,4,36,71.389,7.93,3416.64,2062,269.7,CUBLASLT
tp1,257,5120,1536,4,36,52.506,10.78,4645.39,2062,250.1,CUTLASS
tp1,257,5120,1536,8,72,100.868,11.23,4433.92,2062,289.8,CUBLASLT
tp1,257,5120,1536,8,72,85.971,13.17,5202.22,2062,272.9,CUTLASS
tp1,257,5120,1536,16,144,149.562,15.14,5492.27,2062,303.0,CUBLASLT
tp1,257,5120,1536,16,144,137.456,16.48,5975.98,2062,298.8,CUTLASS
tp1,257,5120,1536,32,288,232.925,19.45,5729.11,2062,328.5,CUBLASLT
tp1,257,5120,1536,32,288,208.887,21.69,6388.39,2062,326.7,CUTLASS
tp1,257,5120,1536,64,576,324.023,27.96,5681.85,2062,369.6,CUBLASLT
tp1,257,5120,1536,64,576,282.123,32.11,6525.70,2062,358.5,CUTLASS
tp1,257,5120,1536,128,1152,356.519,50.82,5774.88,2062,396.7,CUBLASLT
tp1,257,5120,1536,128,1152,316.842,57.19,6498.05,2062,389.8,CUTLASS
tp1,257,5120,1536,129,1161,364.484,50.10,5648.99,2062,242.4,CUBLASLT
tp1,257,5120,1536,129,1161,316.369,57.72,6508.12,2062,242.3,CUTLASS
tp1,257,5120,1536,256,2304,375.064,96.62,5633.73,2062,421.4,CUBLASLT
tp1,257,5120,1536,256,2304,325.332,111.39,6494.93,2062,420.6,CUTLASS
tp1,257,5120,1536,257,2313,378.366,96.15,5584.86,2062,272.1,CUBLASLT
tp1,257,5120,1536,257,2313,324.615,112.07,6509.62,2062,261.2,CUTLASS
tp1,257,5120,1536,512,4608,384.382,188.56,5567.77,2062,298.4,CUBLASLT
tp1,257,5120,1536,512,4608,331.178,218.85,6462.24,2062,297.3,CUTLASS
tp1,257,5120,1536,513,4617,378.385,191.92,5656.31,2062,337.1,CUBLASLT
tp1,257,5120,1536,513,4617,329.268,220.55,6500.07,2062,335.9,CUTLASS
tp1,257,5120,1536,1024,9216,397.150,364.99,5525.47,2062,433.8,CUBLASLT
tp1,257,5120,1536,1024,9216,342.442,423.30,6408.21,2062,431.8,CUTLASS
tp1,257,5120,1536,1536,13824,405.303,536.47,5548.27,2062,346.0,CUBLASLT
tp1,257,5120,1536,1536,13824,353.141,615.71,6367.79,2062,341.5,CUTLASS
tp1,257,5120,1536,2048,18432,368.091,787.60,6256.65,2062,440.8,CUBLASLT
tp1,257,5120,1536,2048,18432,357.739,810.40,6437.70,2062,436.8,CUTLASS
tp1,257,5120,1536,4096,36864,574.241,1009.72,4389.97,2062,448.2,CUBLASLT
tp1,257,5120,1536,4096,36864,469.714,1234.41,5366.89,2062,449.0,CUTLASS
tp1,257,5120,1536,5120,46080,582.939,1243.31,4512.15,2062,361.6,CUBLASLT
tp1,257,5120,1536,5120,46080,487.995,1485.21,5390.03,2062,359.7,CUTLASS
tp1,257,5120,1536,8192,73728,679.205,1707.35,4353.30,2062,481.6,CUBLASLT
tp1,257,5120,1536,8192,73728,657.202,1764.51,4499.05,2062,475.9,CUTLASS
tp1,257,5120,1536,10240,92160,786.434,1843.20,4036.93,2062,371.3,CUBLASLT
tp1,257,5120,1536,10240,92160,844.904,1715.64,3757.56,2062,379.1,CUTLASS
tp1,257,5120,1536,16384,147456,1163.000,1994.22,3291.99,2062,530.4,CUBLASLT
tp1,257,5120,1536,16384,147456,1086.000,2135.62,3525.40,2062,517.0,CUTLASS
tp1,257,5120,1536,20480,184320,1434.000,2021.69,2973.81,2062,487.3,CUBLASLT
tp1,257,5120,1536,20480,184320,1286.000,2254.36,3316.05,2062,460.1,CUTLASS
tp4,257,5120,384,1,9,36.432,0.97,503.87,2062,222.0,CUBLASLT
tp4,257,5120,384,1,9,14.144,2.50,1297.87,2062,223.8,CUTLASS
tp4,257,5120,384,2,18,40.730,1.74,851.59,2062,245.8,CUBLASLT
tp4,257,5120,384,2,18,17.626,4.02,1967.84,2062,239.6,CUTLASS
tp4,257,5120,384,4,36,45.735,3.10,1339.33,2062,268.3,CUBLASLT
tp4,257,5120,384,4,36,22.950,6.17,2669.03,2062,250.3,CUTLASS
tp4,257,5120,384,8,72,60.701,4.66,1851.09,2062,279.6,CUBLASLT
tp4,257,5120,384,8,72,34.214,8.27,3284.12,2062,275.3,CUTLASS
tp4,257,5120,384,16,144,84.429,6.71,2445.42,2062,302.5,CUBLASLT
