variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
nsa,1,32768,1024,15.011,4.47,2309.88,2062,395.2,CUTLASS
nsa,1,32768,1024,11.965,5.61,2897.92,2062,397.6,CUBLASLT
nsa,2,32768,1024,14.122,9.50,2460.01,2062,405.1,CUTLASS
nsa,2,32768,1024,12.019,11.17,2890.44,2062,406.2,CUBLASLT
nsa,4,32768,1024,14.445,18.58,2414.22,2062,403.9,CUTLASS
nsa,4,32768,1024,11.786,22.78,2958.88,2062,403.9,CUBLASLT
nsa,8,32768,1024,14.320,37.49,2453.88,2062,406.5,CUTLASS
nsa,8,32768,1024,11.962,44.88,2937.60,2062,406.5,CUBLASLT
nsa,16,32768,1024,14.253,75.33,2502.78,2062,407.6,CUTLASS
nsa,16,32768,1024,11.795,91.03,3024.34,2062,406.2,CUBLASLT
nsa,32,32768,1024,14.624,146.85,2512.11,2062,402.6,CUTLASS
nsa,32,32768,1024,11.927,180.05,3080.16,2062,402.0,CUBLASLT
nsa,64,32768,1024,13.581,316.25,2861.86,2062,401.3,CUTLASS
nsa,64,32768,1024,11.731,366.12,3313.18,2062,396.5,CUBLASLT
nsa,128,32768,1024,13.011,660.21,3314.64,2062,395.5,CUTLASS
nsa,128,32768,1024,11.926,720.27,3616.20,2062,385.1,CUBLASLT
nsa,256,32768,1024,17.114,1003.85,3018.03,2062,381.4,CUTLASS
nsa,256,32768,1024,13.130,1308.44,3933.78,2062,378.8,CUBLASLT
nsa,1024,32768,1024,39.053,1759.65,2632.15,2062,380.0,CUTLASS
nsa,1024,32768,1024,27.469,2501.71,3742.15,2062,382.0,CUBLASLT
nsa,2048,32768,1024,62.736,2190.75,2725.44,2062,382.3,CUTLASS
nsa,2048,32768,1024,51.850,2650.70,3297.66,2062,387.0,CUBLASLT
nsa,4096,32768,1024,113.379,2424.42,2710.94,2062,387.4,CUTLASS
nsa,4096,32768,1024,104.800,2622.88,2932.86,2062,399.4,CUBLASLT
nsa,8192,32768,1024,215.591,2549.99,2690.86,2062,397.9,CUTLASS
nsa,8192,32768,1024,199.754,2752.16,2904.20,2062,397.4,CUBLASLT
nsa,16384,32768,1024,448.718,2450.34,2508.58,2062,407.8,CUTLASS
nsa,16384,32768,1024,387.576,2836.89,2904.32,2062,412.7,CUBLASLT
swa,1,16384,1024,9.446,3.55,1835.63,2062,418.8,CUTLASS
swa,1,16384,1024,7.648,4.39,2267.18,2062,424.3,CUBLASLT
swa,2,16384,1024,9.994,6.71,1738.36,2062,415.9,CUTLASS
swa,2,16384,1024,8.496,7.90,2044.87,2062,411.4,CUBLASLT
swa,4,16384,1024,10.070,13.33,1731.95,2062,420.7,CUTLASS
swa,4,16384,1024,7.930,16.93,2199.34,2062,420.7,CUBLASLT
swa,8,16384,1024,9.802,27.39,1793.10,2062,420.1,CUTLASS
swa,8,16384,1024,8.074,33.25,2176.86,2062,419.9,CUBLASLT
swa,16,16384,1024,9.709,55.30,1838.12,2062,413.0,CUTLASS
swa,16,16384,1024,7.546,71.15,2365.00,2062,400.2,CUBLASLT
swa,32,16384,1024,9.642,111.36,1906.96,2062,397.1,CUTLASS
swa,32,16384,1024,8.182,131.23,2247.24,2062,398.6,CUBLASLT
swa,64,16384,1024,9.978,215.22,1951.12,2062,397.1,CUTLASS
swa,64,16384,1024,7.600,282.56,2561.62,2062,386.7,CUBLASLT
swa,128,16384,1024,9.379,457.93,2306.32,2062,383.8,CUTLASS
swa,128,16384,1024,7.818,549.37,2766.82,2062,378.8,CUBLASLT
swa,256,16384,1024,11.395,753.83,2278.23,2062,374.6,CUTLASS
swa,256,16384,1024,8.896,965.60,2918.22,2062,374.5,CUBLASLT
swa,1024,16384,1024,22.643,1517.46,2293.75,2062,375.8,CUTLASS
swa,1024,16384,1024,17.581,1954.37,2954.17,2062,375.8,CUBLASLT
swa,2048,16384,1024,34.304,2003.25,2523.70,2062,390.5,CUTLASS
swa,2048,16384,1024,26.592,2584.22,3255.61,2062,390.5,CUBLASLT
swa,4096,16384,1024,60.045,2288.93,2595.46,2062,395.5,CUTLASS
swa,4096,16384,1024,51.997,2643.21,2997.18,2062,395.5,CUBLASLT
swa,8192,16384,1024,116.131,2366.96,2534.96,2062,399.3,CUTLASS
swa,8192,16384,1024,104.797,2622.96,2809.12,2062,399.7,CUBLASLT
swa,16384,16384,1024,218.366,2517.59,2617.05,2062,404.7,CUTLASS
swa,16384,16384,1024,200.925,2736.12,2844.22,2062,409.2,CUBLASLT
