variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
nsa,1,1920,5120,8.576,2.29,1185.52,2062,231.1,CUBLASLT
nsa,1,1920,5120,13.632,1.44,745.82,2062,221.8,CUTLASS
nsa,2,1920,5120,8.256,4.76,1232.56,2062,245.7,CUBLASLT
nsa,2,1920,5120,13.443,2.93,756.97,2062,231.1,CUTLASS
nsa,4,1920,5120,8.400,9.36,1213.56,2062,268.1,CUBLASLT
nsa,4,1920,5120,13.574,5.79,750.99,2062,249.8,CUTLASS
nsa,8,1920,5120,8.189,19.21,1249.21,2062,279.7,CUBLASLT
nsa,8,1920,5120,13.619,11.55,751.14,2062,271.7,CUTLASS
nsa,16,1920,5120,8.525,36.90,1208.38,2062,296.3,CUBLASLT
nsa,16,1920,5120,13.619,23.10,756.40,2062,293.8,CUTLASS
nsa,32,1920,5120,8.310,75.71,1256.90,2062,313.5,CUBLASLT
nsa,32,1920,5120,13.427,46.86,777.90,2062,313.5,CUTLASS
nsa,64,1920,5120,8.538,147.38,1256.91,2062,336.1,CUBLASLT
nsa,64,1920,5120,13.750,91.51,780.47,2062,333.0,CUTLASS
nsa,128,1920,5120,10.419,241.54,1085.03,2062,361.6,CUBLASLT
nsa,128,1920,5120,13.693,183.79,825.60,2062,346.0,CUTLASS
nsa,129,1920,5120,10.435,243.05,1086.19,2062,231.4,CUBLASLT
nsa,129,1920,5120,13.648,185.83,830.48,2062,230.7,CUTLASS
nsa,256,1920,5120,10.464,481.00,1191.93,2062,382.0,CUBLASLT
nsa,256,1920,5120,13.664,368.35,912.79,2062,363.4,CUTLASS
nsa,257,1920,5120,10.509,480.81,1189.62,2062,249.4,CUBLASLT
nsa,257,1920,5120,13.709,368.58,911.94,2062,247.4,CUTLASS
nsa,512,1920,5120,10.643,945.82,1391.25,2062,269.0,CUBLASLT
nsa,512,1920,5120,13.757,731.72,1076.33,2062,261.6,CUTLASS
nsa,513,1920,5120,12.067,835.83,1229.51,2062,297.1,CUBLASLT
nsa,513,1920,5120,13.370,754.37,1109.68,2062,288.7,CUTLASS
nsa,1024,1920,5120,11.363,1771.77,1714.03,2062,384.0,CUBLASLT
nsa,1024,1920,5120,14.349,1403.07,1357.34,2062,382.8,CUTLASS
nsa,1536,1920,5120,16.634,1815.50,1451.60,2062,310.4,CUBLASLT
nsa,1536,1920,5120,21.661,1394.16,1114.72,2062,308.6,CUTLASS
nsa,2048,1920,5120,17.597,2288.19,1637.52,2062,385.7,CUBLASLT
nsa,2048,1920,5120,22.243,1810.25,1295.48,2062,385.7,CUTLASS
nsa,4096,1920,5120,31.078,2591.24,1528.19,2062,387.3,CUBLASLT
nsa,4096,1920,5120,39.104,2059.40,1214.53,2062,387.8,CUTLASS
nsa,5120,1920,5120,35.059,2871.25,1621.04,2062,328.6,CUBLASLT
nsa,5120,1920,5120,52.922,1902.11,1073.88,2062,323.2,CUTLASS
nsa,8192,1920,5120,66.707,2414.46,1271.96,2062,386.9,CUBLASLT
nsa,8192,1920,5120,72.535,2220.46,1169.76,2062,386.7,CUTLASS
nsa,10240,1920,5120,75.392,2670.40,1373.17,2062,355.8,CUBLASLT
nsa,10240,1920,5120,88.496,2274.98,1169.84,2062,342.9,CUTLASS
nsa,16384,1920,5120,114.980,2801.55,1387.72,2062,388.1,CUBLASLT
nsa,16384,1920,5120,132.324,2434.35,1205.83,2062,387.2,CUTLASS
nsa,20480,1920,5120,144.906,2778.72,1358.92,2062,376.7,CUBLASLT
nsa,20480,1920,5120,162.407,2479.28,1212.48,2062,367.3,CUTLASS
swa,1,2176,5120,8.294,2.69,1388.86,2062,401.1,CUBLASLT
swa,1,2176,5120,13.402,1.66,859.52,2062,389.0,CUTLASS
swa,2,2176,5120,8.349,5.34,1380.85,2062,406.9,CUBLASLT
swa,2,2176,5120,13.530,3.29,852.08,2062,401.1,CUTLASS
swa,4,2176,5120,8.413,10.59,1372.60,2062,409.8,CUBLASLT
swa,4,2176,5120,13.722,6.50,841.54,2062,408.6,CUTLASS
swa,8,2176,5120,8.397,21.23,1379.72,2062,413.5,CUBLASLT
swa,8,2176,5120,13.597,13.11,852.07,2062,413.5,CUTLASS
swa,16,2176,5120,8.493,41.98,1373.05,2062,424.2,CUBLASLT
swa,16,2176,5120,13.674,26.07,852.81,2062,424.2,CUTLASS
swa,32,2176,5120,8.486,84.02,1392.04,2062,419.4,CUBLASLT
swa,32,2176,5120,13.629,52.32,866.74,2062,424.6,CUTLASS
swa,64,2176,5120,10.394,137.20,1165.67,2062,415.2,CUBLASLT
swa,64,2176,5120,13.722,103.93,882.96,2062,418.4,CUTLASS
swa,128,2176,5120,10.618,268.61,1198.17,2062,415.2,CUBLASLT
swa,128,2176,5120,13.760,207.28,924.58,2062,415.2,CUTLASS
swa,129,2176,5120,10.458,274.85,1219.37,2062,385.6,CUBLASLT
swa,129,2176,5120,13.981,205.59,912.10,2062,379.1,CUTLASS
swa,256,2176,5120,10.605,537.88,1315.90,2062,417.6,CUBLASLT
swa,256,2176,5120,13.754,414.73,1014.62,2062,415.5,CUTLASS
swa,257,2176,5120,10.704,534.99,1306.52,2062,388.3,CUBLASLT
swa,257,2176,5120,13.830,414.07,1011.21,2062,385.7,CUTLASS
swa,512,2176,5120,10.701,1066.12,1534.52,2062,377.5,CUBLASLT
swa,512,2176,5120,14.058,811.53,1168.08,2062,384.9,CUTLASS
swa,513,2176,5120,12.864,888.59,1278.83,2062,389.6,CUBLASLT
swa,513,2176,5120,13.856,824.97,1187.27,2062,389.6,CUTLASS
swa,1024,2176,5120,11.606,1965.97,1839.78,2062,416.5,CUBLASLT
swa,1024,2176,5120,14.496,1574.02,1472.99,2062,417.2,CUTLASS
swa,1536,2176,5120,17.043,2008.19,1542.22,2062,394.5,CUBLASLT
swa,1536,2176,5120,21.786,1570.99,1206.46,2062,394.5,CUTLASS
swa,2048,2176,5120,17.613,2590.93,1772.31,2062,408.6,CUBLASLT
swa,2048,2176,5120,34.947,1305.81,893.23,2062,408.8,CUTLASS
swa,4096,2176,5120,31.203,2924.98,1632.60,2062,401.9,CUBLASLT
swa,4096,2176,5120,60.115,1518.22,847.41,2062,401.9,CUTLASS
swa,5120,2176,5120,45.475,2508.74,1337.11,2062,417.3,CUBLASLT
