variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
tp1,1,27648,5120,53.719,5.27,2719.01,2062,411.6,CUTLASS
tp1,1,27648,5120,35.930,7.88,4065.19,2062,414.8,CUBLASLT
tp1,2,27648,5120,53.392,10.61,2736.79,2062,415.6,CUTLASS
tp1,2,27648,5120,35.693,15.86,4093.88,2062,415.6,CUBLASLT
tp1,4,27648,5120,49.540,22.86,2952.03,2062,415.4,CUTLASS
tp1,4,27648,5120,36.656,30.89,3989.62,2062,416.5,CUBLASLT
tp1,8,27648,5120,49.037,46.19,2987.24,2062,421.8,CUTLASS
tp1,8,27648,5120,36.016,62.89,4067.23,2062,415.5,CUBLASLT
tp1,16,27648,5120,51.716,87.59,2841.84,2062,415.4,CUTLASS
tp1,16,27648,5120,36.227,125.04,4056.88,2062,412.8,CUBLASLT
tp1,32,27648,5120,37.584,241.05,3936.12,2062,404.3,CUTLASS
tp1,32,27648,5120,34.762,260.62,4255.66,2062,402.4,CUBLASLT
tp1,64,27648,5120,37.965,477.27,3947.54,2062,392.6,CUTLASS
tp1,64,27648,5120,35.331,512.85,4241.84,2062,392.4,CUBLASLT
tp1,128,27648,5120,38.253,947.34,4018.90,2062,386.2,CUTLASS
tp1,128,27648,5120,33.907,1068.77,4534.02,2062,393.3,CUBLASLT
tp1,256,27648,5120,45.043,1609.08,3585.22,2062,378.3,CUTLASS
tp1,256,27648,5120,37.235,1946.49,4337.02,2062,379.2,CUBLASLT
tp1,1024,27648,5120,126.903,2284.50,1639.14,2062,379.8,CUTLASS
tp1,1024,27648,5120,103.114,2811.55,2017.29,2062,385.1,CUBLASLT
tp1,2048,27648,5120,208.106,2786.18,1297.61,2062,390.1,CUTLASS
tp1,2048,27648,5120,185.678,3122.72,1454.35,2062,396.6,CUBLASLT
tp1,4096,27648,5120,376.292,3081.76,1047.33,2062,404.7,CUTLASS
tp1,4096,27648,5120,347.554,3336.58,1133.93,2062,416.9,CUBLASLT
tp1,8192,27648,5120,742.962,3121.67,864.40,2062,423.8,CUTLASS
tp1,8192,27648,5120,688.665,3367.79,932.56,2062,429.3,CUBLASLT
tp1,16384,27648,5120,1679.000,2762.69,678.06,2062,450.9,CUTLASS
tp1,16384,27648,5120,1408.000,3294.44,808.56,2062,483.2,CUBLASLT
tp4,1,6912,5120,20.765,3.41,1759.44,2062,530.1,CUTLASS
tp4,1,6912,5120,11.910,5.94,3067.57,2062,531.1,CUBLASLT
tp4,2,6912,5120,20.154,7.02,1813.72,2062,529.4,CUTLASS
tp4,2,6912,5120,11.683,12.12,3128.80,2062,519.5,CUBLASLT
tp4,4,6912,5120,19.306,14.66,1895.35,2062,514.5,CUTLASS
tp4,4,6912,5120,13.085,21.64,2796.46,2062,510.6,CUBLASLT
tp4,8,6912,5120,18.378,30.81,1995.18,2062,501.1,CUTLASS
tp4,8,6912,5120,12.822,44.16,2859.72,2062,499.7,CUBLASLT
tp4,16,6912,5120,19.363,58.49,1901.51,2062,492.6,CUTLASS
