variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
nsa,1,32768,512,9.674,3.47,1795.49,2062,408.1,CUTLASS
nsa,1,32768,512,8.083,4.15,2148.91,2062,407.6,CUBLASLT
nsa,2,32768,512,9.603,6.99,1815.65,2062,408.9,CUTLASS
nsa,2,32768,512,8.010,8.38,2176.74,2062,410.3,CUBLASLT
nsa,4,32768,512,9.667,13.88,1817.29,2062,410.6,CUTLASS
nsa,4,32768,512,8.042,16.69,2184.50,2062,417.7,CUBLASLT
nsa,8,32768,512,9.610,27.93,1855.56,2062,417.7,CUTLASS
nsa,8,32768,512,8.067,33.28,2210.48,2062,419.3,CUBLASLT
nsa,16,32768,512,9.690,55.40,1894.77,2062,419.3,CUTLASS
nsa,16,32768,512,8.086,66.40,2270.63,2062,423.7,CUBLASLT
nsa,32,32768,512,9.526,112.72,2038.33,2062,424.5,CUTLASS
nsa,32,32768,512,8.026,133.78,2419.27,2062,425.9,CUBLASLT
nsa,64,32768,512,9.648,222.58,2231.62,2062,429.5,CUTLASS
nsa,64,32768,512,8.214,261.44,2621.21,2062,428.7,CUBLASLT
nsa,128,32768,512,9.718,441.96,2650.51,2062,423.3,CUTLASS
nsa,128,32768,512,8.189,524.48,3145.40,2062,423.3,CUBLASLT
nsa,256,32768,512,11.885,722.75,2878.75,2062,423.9,CUTLASS
nsa,256,32768,512,9.005,953.91,3799.43,2062,423.9,CUBLASLT
nsa,1024,32768,512,25.418,1351.79,3342.16,2062,420.5,CUTLASS
nsa,1024,32768,512,18.966,1811.65,4479.12,2062,420.0,CUBLASLT
nsa,2048,32768,512,39.267,1750.06,3886.23,2062,422.1,CUTLASS
nsa,2048,32768,512,32.826,2093.45,4648.77,2062,424.4,CUBLASLT
nsa,4096,32768,512,71.472,1922.98,4028.15,2062,426.0,CUTLASS
nsa,4096,32768,512,64.621,2126.85,4455.20,2062,433.0,CUBLASLT
nsa,8192,32768,512,131.738,2086.55,4239.46,2062,430.3,CUTLASS
nsa,8192,32768,512,129.367,2124.79,4317.16,2062,430.3,CUBLASLT
nsa,16384,32768,512,273.957,2006.72,4014.11,2062,432.2,CUTLASS
nsa,16384,32768,512,249.873,2200.14,4401.01,2062,426.8,CUBLASLT
swa,1,20480,1024,12.314,3.41,1760.03,2062,427.0,CUTLASS
swa,1,20480,1024,10.000,4.19,2167.30,2062,427.0,CUBLASLT
swa,2,20480,1024,12.237,6.86,1774.53,2062,421.7,CUTLASS
swa,2,20480,1024,9.888,8.48,2196.09,2062,421.7,CUBLASLT
swa,4,20480,1024,11.705,14.33,1862.36,2062,409.7,CUTLASS
swa,4,20480,1024,9.184,18.27,2373.57,2062,406.4,CUBLASLT
swa,8,20480,1024,11.677,28.74,1881.21,2062,405.3,CUTLASS
swa,8,20480,1024,9.190,36.51,2390.30,2062,403.4,CUBLASLT
swa,16,20480,1024,11.594,57.88,1923.64,2062,403.5,CUTLASS
swa,16,20480,1024,8.941,75.06,2494.43,2062,407.5,CUBLASLT
swa,32,20480,1024,11.779,113.95,1950.46,2062,407.2,CUTLASS
swa,32,20480,1024,9.866,136.04,2328.65,2062,399.8,CUBLASLT
swa,64,20480,1024,11.530,232.81,2109.10,2062,388.1,CUTLASS
swa,64,20480,1024,9.286,289.08,2618.78,2062,388.1,CUBLASLT
swa,128,20480,1024,12.000,447.39,2250.41,2062,355.0,CUTLASS
swa,128,20480,1024,10.058,533.78,2684.92,2062,355.0,CUBLASLT
swa,256,20480,1024,13.341,804.84,2427.33,2062,357.0,CUTLASS
swa,256,20480,1024,10.077,1065.54,3213.55,2062,357.3,CUBLASLT
swa,1024,20480,1024,26.919,1595.52,2401.70,2062,359.1,CUTLASS
swa,1024,20480,1024,20.416,2103.73,3166.70,2062,361.4,CUBLASLT
swa,2048,20480,1024,41.245,2082.66,2610.64,2062,363.0,CUTLASS
swa,2048,20480,1024,33.143,2591.78,3248.82,2062,382.4,CUBLASLT
swa,4096,20480,1024,75.133,2286.59,2578.42,2062,367.6,CUTLASS
swa,4096,20480,1024,65.303,2630.79,2966.55,2062,368.6,CUBLASLT
swa,8192,20480,1024,142.391,2413.06,2569.14,2062,368.6,CUTLASS
swa,8192,20480,1024,125.322,2741.72,2919.06,2062,371.9,CUBLASLT
swa,16384,20480,1024,274.046,2507.59,2590.87,2062,373.7,CUTLASS
swa,16384,20480,1024,245.582,2798.23,2891.16,2062,386.9,CUBLASLT
