variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
nsa,1,32768,1024,8.310,8.08,2280.22,2062,441.4,CUBLASLT
nsa,1,32768,1024,12.870,5.21,1472.31,2062,441.6,CUTLASS
nsa,2,32768,1024,8.454,15.88,2249.19,2062,441.0,CUBLASLT
nsa,2,32768,1024,12.675,10.59,1500.17,2062,441.3,CUTLASS
nsa,4,32768,1024,8.339,32.19,2296.05,2062,439.0,CUBLASLT
nsa,4,32768,1024,12.256,21.90,1562.23,2062,439.0,CUTLASS
nsa,8,32768,1024,8.515,63.05,2279.62,2062,438.7,CUBLASLT
nsa,8,32768,1024,11.958,44.90,1623.26,2062,438.7,CUTLASS
nsa,16,32768,1024,8.240,130.31,2419.82,2062,438.7,CUBLASLT
nsa,16,32768,1024,12.077,88.91,1651.02,2062,438.7,CUTLASS
nsa,32,32768,1024,8.342,257.43,2516.91,2062,437.9,CUBLASLT
nsa,32,32768,1024,12.240,175.45,1715.37,2062,438.4,CUTLASS
nsa,64,32768,1024,8.333,515.42,2773.27,2062,439.1,CUBLASLT
nsa,64,32768,1024,12.746,336.97,1813.09,2062,438.2,CUTLASS
nsa,128,32768,1024,8.461,1015.24,3230.91,2062,433.9,CUBLASLT
nsa,128,32768,1024,13.354,643.25,2047.08,2062,434.7,CUTLASS
nsa,129,32768,1024,8.678,997.59,3158.67,2062,422.2,CUBLASLT
nsa,129,32768,1024,12.986,666.64,2110.81,2062,422.2,CUTLASS
nsa,256,32768,1024,9.091,1889.77,3937.86,2062,437.3,CUBLASLT
nsa,256,32768,1024,13.514,1271.26,2649.03,2062,434.5,CUTLASS
nsa,257,32768,1024,10.746,1604.97,3338.29,2062,419.9,CUBLASLT
nsa,257,32768,1024,13.424,1284.79,2672.32,2062,420.9,CUTLASS
nsa,512,32768,1024,12.941,2655.11,4074.16,2062,410.4,CUBLASLT
nsa,512,32768,1024,15.142,2269.17,3481.95,2062,419.7,CUTLASS
nsa,513,32768,1024,14.189,2426.31,3721.05,2062,408.7,CUBLASLT
nsa,513,32768,1024,18.922,1819.41,2790.29,2062,407.4,CUTLASS
nsa,1024,32768,1024,19.811,3468.75,4369.95,2062,431.1,CUBLASLT
nsa,1024,32768,1024,22.752,3020.37,3805.07,2062,437.1,CUTLASS
nsa,1536,32768,1024,26.115,3947.13,4611.23,2062,412.8,CUBLASLT
nsa,1536,32768,1024,29.917,3445.51,4025.22,2062,412.8,CUTLASS
nsa,2048,32768,1024,34.269,4010.59,4501.79,2062,428.2,CUBLASLT
nsa,2048,32768,1024,37.923,3624.16,4068.03,2062,430.9,CUTLASS
nsa,4096,32768,1024,66.250,4149.10,4372.36,2062,426.7,CUBLASLT
nsa,4096,32768,1024,70.913,3876.27,4084.85,2062,428.2,CUTLASS
nsa,5120,32768,1024,83.376,4121.06,4286.22,2062,416.6,CUBLASLT
nsa,5120,32768,1024,87.815,3912.74,4069.55,2062,415.9,CUTLASS
nsa,8192,32768,1024,134.346,4092.09,4171.79,2062,434.1,CUBLASLT
