variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
nsa,1,1920,5120,11.344,1.73,491.62,2062,212.2,CUTLASS
nsa,1,1920,5120,7.178,2.74,776.95,2062,221.0,CUBLASLT
nsa,2,1920,5120,11.235,3.50,496.96,2062,235.3,CUTLASS
nsa,2,1920,5120,7.146,5.50,781.33,2062,238.9,CUBLASLT
nsa,4,1920,5120,11.251,6.99,497.39,2062,257.1,CUTLASS
nsa,4,1920,5120,7.274,10.81,769.34,2062,260.4,CUBLASLT
nsa,8,1920,5120,11.267,13.96,498.96,2062,273.4,CUTLASS
nsa,8,1920,5120,7.107,22.13,791.02,2062,283.9,CUBLASLT
nsa,16,1920,5120,11.478,27.41,494.25,2062,283.9,CUTLASS
nsa,16,1920,5120,7.270,43.27,780.32,2062,289.7,CUBLASLT
nsa,32,1920,5120,11.171,56.32,517.00,2062,303.4,CUTLASS
nsa,32,1920,5120,7.094,88.69,814.12,2062,303.4,CUBLASLT
nsa,64,1920,5120,11.392,110.45,524.94,2062,324.1,CUTLASS
nsa,64,1920,5120,7.386,170.36,809.66,2062,325.7,CUBLASLT
nsa,128,1920,5120,11.642,216.16,548.85,2062,330.1,CUTLASS
nsa,128,1920,5120,7.382,340.91,865.59,2062,357.4,CUBLASLT
nsa,256,1920,5120,11.843,424.99,612.17,2062,357.4,CUTLASS
nsa,256,1920,5120,7.469,673.87,970.67,2062,371.2,CUBLASLT
nsa,1024,1920,5120,12.378,1626.49,1002.66,2062,377.3,CUTLASS
nsa,1024,1920,5120,7.814,2576.49,1588.29,2062,377.3,CUBLASLT
nsa,2048,1920,5120,12.979,3102.34,1486.41,2062,391.1,CUTLASS
nsa,2048,1920,5120,12.125,3320.85,1591.11,2062,391.1,CUBLASLT
nsa,4096,1920,5120,20.461,3935.81,1615.50,2062,391.3,CUTLASS
nsa,4096,1920,5120,20.157,3995.17,1639.86,2062,391.4,CUBLASLT
nsa,8192,1920,5120,35.350,4556.19,1713.72,2062,393.3,CUTLASS
nsa,8192,1920,5120,36.544,4407.32,1657.72,2062,410.6,CUBLASLT
nsa,16384,1920,5120,63.508,5072.16,1820.72,2062,410.6,CUTLASS
nsa,16384,1920,5120,63.853,5044.75,1810.88,2062,425.5,CUBLASLT
swa,1,2176,5120,11.606,1.92,544.09,2062,435.9,CUTLASS
swa,1,2176,5120,7.386,3.02,854.96,2062,438.8,CUBLASLT
swa,2,2176,5120,11.581,3.85,545.87,2062,449.1,CUTLASS
swa,2,2176,5120,7.347,6.07,860.44,2062,451.0,CUBLASLT
swa,4,2176,5120,12.230,7.29,518.03,2062,447.9,CUTLASS
swa,4,2176,5120,7.469,11.93,848.24,2062,446.4,CUBLASLT
swa,8,2176,5120,11.485,15.52,554.04,2062,446.4,CUTLASS
swa,8,2176,5120,7.168,24.87,887.71,2062,446.4,CUBLASLT
swa,16,2176,5120,11.699,30.47,548.63,2062,446.4,CUTLASS
swa,16,2176,5120,7.357,48.46,872.43,2062,444.7,CUBLASLT
swa,32,2176,5120,11.590,61.52,563.33,2062,444.4,CUTLASS
swa,32,2176,5120,7.344,97.09,889.03,2062,444.5,CUBLASLT
swa,64,2176,5120,12.112,117.74,557.32,2062,444.8,CUTLASS
swa,64,2176,5120,7.600,187.64,888.19,2062,444.8,CUBLASLT
swa,128,2176,5120,11.990,237.88,599.88,2062,437.4,CUTLASS
swa,128,2176,5120,7.603,375.13,946.02,2062,437.4,CUBLASLT
swa,256,2176,5120,12.218,466.87,664.45,2062,438.4,CUTLASS
swa,256,2176,5120,7.811,730.28,1039.34,2062,438.5,CUBLASLT
swa,1024,2176,5120,13.469,1694.04,1015.10,2062,437.1,CUTLASS
swa,1024,2176,5120,8.291,2752.02,1649.07,2062,434.4,CUBLASLT
swa,2048,2176,5120,19.651,2322.22,1072.62,2062,434.0,CUTLASS
swa,2048,2176,5120,11.600,3933.97,1817.07,2062,428.8,CUBLASLT
swa,4096,2176,5120,30.103,3031.86,1192.21,2062,429.1,CUTLASS
swa,4096,2176,5120,18.672,4887.96,1922.08,2062,438.6,CUBLASLT
swa,8192,2176,5120,44.547,4097.61,1470.61,2062,438.6,CUTLASS
swa,8192,2176,5120,33.834,5395.05,1936.26,2062,437.7,CUBLASLT
swa,16384,2176,5120,81.316,4489.55,1534.21,2062,437.7,CUTLASS
swa,16384,2176,5120,68.842,5303.04,1812.21,2062,438.9,CUBLASLT
