variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
tp1,1,27648,5120,21.037,13.46,3789.75,2062,418.6,CUBLASLT
tp1,1,27648,5120,34.525,8.20,2309.20,2062,418.6,CUTLASS
tp1,2,27648,5120,21.325,26.55,3741.29,2062,414.7,CUBLASLT
tp1,2,27648,5120,35.398,16.00,2253.88,2062,415.0,CUTLASS
tp1,4,27648,5120,20.717,54.66,3856.67,2062,411.7,CUBLASLT
tp1,4,27648,5120,35.536,31.87,2248.39,2062,411.7,CUTLASS
tp1,8,27648,5120,21.264,106.51,3768.34,2062,410.0,CUBLASLT
tp1,8,27648,5120,35.719,63.41,2243.35,2062,410.6,CUTLASS
tp1,16,27648,5120,20.675,219.10,3898.08,2062,412.8,CUBLASLT
tp1,16,27648,5120,36.019,125.76,2237.51,2062,410.2,CUTLASS
tp1,32,27648,5120,21.424,422.88,3805.01,2062,431.3,CUBLASLT
tp1,32,27648,5120,34.275,264.32,2378.37,2062,412.8,CUTLASS
tp1,64,27648,5120,20.445,886.25,4077.77,2062,429.5,CUBLASLT
tp1,64,27648,5120,32.954,549.84,2529.89,2062,431.3,CUTLASS
tp1,128,27648,5120,20.605,1758.74,4225.81,2062,427.2,CUBLASLT
tp1,128,27648,5120,37.139,975.76,2344.51,2062,428.3,CUTLASS
tp1,129,27648,5120,22.266,1640.25,3915.01,2062,505.9,CUBLASLT
tp1,129,27648,5120,36.541,999.48,2385.58,2062,513.8,CUTLASS
tp1,256,27648,5120,22.816,3176.61,4142.68,2062,424.9,CUBLASLT
tp1,256,27648,5120,38.189,1897.87,2475.04,2062,422.2,CUTLASS
tp1,257,27648,5120,31.303,2324.40,3022.65,2062,498.5,CUBLASLT
tp1,257,27648,5120,37.088,1961.84,2551.18,2062,498.7,CUTLASS
tp1,512,27648,5120,30.403,4767.79,3598.74,2062,492.8,CUBLASLT
tp1,512,27648,5120,39.245,3693.60,2787.93,2062,492.8,CUTLASS
tp1,513,27648,5120,46.499,3123.47,2355.13,2062,469.4,CUBLASLT
tp1,513,27648,5120,52.832,2749.06,2072.82,2062,474.0,CUTLASS
tp1,1024,27648,5120,51.699,5607.66,2692.48,2062,429.1,CUBLASLT
tp1,1024,27648,5120,57.059,5080.89,2439.55,2062,430.8,CUTLASS
tp1,1536,27648,5120,76.627,5675.09,2205.29,2062,468.4,CUBLASLT
tp1,1536,27648,5120,82.528,5269.31,2047.60,2062,469.1,CUTLASS
tp1,2048,27648,5120,99.671,5817.34,1994.27,2062,428.4,CUBLASLT
tp1,2048,27648,5120,105.085,5517.63,1891.52,2062,429.1,CUTLASS
tp1,4096,27648,5120,181.581,6386.36,1750.82,2062,433.9,CUBLASLT
tp1,4096,27648,5120,187.463,6185.97,1695.88,2062,428.2,CUTLASS
tp1,5120,27648,5120,227.037,6384.65,1662.67,2062,473.2,CUBLASLT
tp1,5120,27648,5120,230.404,6291.35,1638.37,2062,469.7,CUTLASS
tp1,8192,27648,5120,356.206,6511.07,1561.47,2062,452.3,CUBLASLT
tp1,8192,27648,5120,362.443,6399.03,1534.60,2062,437.3,CUTLASS
tp1,10240,27648,5120,446.338,6495.31,1513.09,2062,472.5,CUBLASLT
tp1,10240,27648,5120,447.963,6471.75,1507.60,2062,472.7,CUTLASS
tp1,16384,27648,5120,707.526,6556.03,1459.71,2062,465.1,CUBLASLT
tp1,16384,27648,5120,800.700,5793.14,1289.85,2062,453.5,CUTLASS
tp1,20480,27648,5120,874.776,6628.22,1453.02,2062,503.3,CUBLASLT
tp1,20480,27648,5120,991.356,5848.76,1282.15,2062,489.7,CUTLASS
tp4,1,6912,5120,8.909,7.94,2240.87,2062,474.8,CUBLASLT
tp4,1,6912,5120,13.085,5.41,1525.71,2062,463.0,CUTLASS
tp4,2,6912,5120,8.778,16.13,2276.18,2062,472.3,CUBLASLT
tp4,2,6912,5120,13.123,10.79,1522.54,2062,474.8,CUTLASS
tp4,4,6912,5120,8.816,32.11,2270.08,2062,470.2,CUBLASLT
tp4,4,6912,5120,13.094,21.62,1528.41,2062,471.8,CUTLASS
tp4,8,6912,5120,8.806,64.30,2280.10,2062,469.0,CUBLASLT
tp4,8,6912,5120,13.318,42.52,1507.63,2062,468.6,CUTLASS
tp4,16,6912,5120,8.845,128.03,2284.87,2062,470.7,CUBLASLT
tp4,16,6912,5120,13.347,84.85,1514.17,2062,470.0,CUTLASS
tp4,32,6912,5120,8.861,255.61,2310.33,2062,468.9,CUBLASLT
tp4,32,6912,5120,13.104,172.84,1562.26,2062,474.1,CUTLASS
tp4,64,6912,5120,9.043,500.92,2321.81,2062,462.2,CUBLASLT
tp4,64,6912,5120,13.078,346.37,1605.45,2062,462.2,CUTLASS
tp4,128,6912,5120,9.366,967.30,2353.69,2062,465.7,CUBLASLT
tp4,128,6912,5120,13.494,671.39,1633.66,2062,465.3,CUTLASS
tp4,129,6912,5120,9.018,1012.47,2450.88,2062,521.2,CUBLASLT
tp4,129,6912,5120,13.309,686.04,1660.68,2062,519.4,CUTLASS
tp4,256,6912,5120,9.229,1963.31,2620.30,2062,464.9,CUBLASLT
tp4,256,6912,5120,13.626,1329.77,1774.75,2062,465.7,CUTLASS
tp4,257,6912,5120,11.402,1595.35,2125.95,2062,519.0,CUBLASLT
tp4,257,6912,5120,13.357,1361.85,1814.79,2062,522.4,CUTLASS
tp4,512,6912,5120,12.634,2868.35,2252.57,2062,513.1,CUBLASLT
tp4,512,6912,5120,13.414,2701.56,2121.59,2062,512.2,CUTLASS
tp4,513,6912,5120,13.437,2702.21,2122.23,2062,518.4,CUBLASLT
tp4,513,6912,5120,19.802,1833.63,1440.07,2062,518.5,CUTLASS
tp4,1024,6912,5120,17.453,4152.73,2120.64,2062,452.1,CUBLASLT
tp4,1024,6912,5120,20.931,3462.69,1768.26,2062,464.9,CUTLASS
tp4,1536,6912,5120,23.891,4550.52,1907.16,2062,516.7,CUBLASLT
tp4,1536,6912,5120,27.082,4014.34,1682.44,2062,516.7,CUTLASS
tp4,2048,6912,5120,25.690,5642.47,2106.51,2062,443.3,CUBLASLT
tp4,2048,6912,5120,34.384,4215.77,1573.88,2062,443.3,CUTLASS
tp4,4096,6912,5120,48.291,6003.40,1829.04,2062,445.2,CUBLASLT
tp4,4096,6912,5120,51.536,5625.39,1713.87,2062,445.2,CUTLASS
tp4,5120,6912,5120,72.032,5030.93,1463.67,2062,516.5,CUBLASLT
tp4,5120,6912,5120,67.104,5400.39,1571.16,2062,516.5,CUTLASS
tp4,8192,6912,5120,98.589,5881.19,1589.89,2062,441.7,CUBLASLT
tp4,8192,6912,5120,100.519,5768.27,1559.36,2062,443.6,CUTLASS
tp4,10240,6912,5120,123.085,5888.42,1551.41,2062,514.9,CUBLASLT
tp4,10240,6912,5120,125.239,5787.14,1524.73,2062,515.1,CUTLASS
tp4,16384,6912,5120,187.786,6175.33,1563.40,2062,453.6,CUBLASLT
tp4,16384,6912,5120,191.777,6046.82,1530.87,2062,442.4,CUTLASS
tp4,20480,6912,5120,234.900,6170.93,1541.10,2062,515.6,CUBLASLT
tp4,20480,6912,5120,234.305,6186.60,1545.01,2062,515.3,CUTLASS
tp8,1,3456,5120,8.208,4.31,1218.78,2062,460.8,CUBLASLT
tp8,1,3456,5120,12.554,2.82,796.85,2062,453.6,CUTLASS
tp8,2,3456,5120,8.122,8.71,1232.85,2062,462.8,CUBLASLT
tp8,2,3456,5120,12.477,5.67,802.53,2062,463.6,CUTLASS
tp8,4,3456,5120,8.147,17.38,1231.39,2062,459.8,CUBLASLT
tp8,4,3456,5120,12.499,11.33,802.63,2062,460.3,CUTLASS
tp8,8,3456,5120,8.102,34.94,1242.90,2062,459.1,CUBLASLT
tp8,8,3456,5120,12.416,22.80,811.05,2062,458.6,CUTLASS
tp8,16,3456,5120,8.214,68.93,1235.18,2062,462.8,CUBLASLT
tp8,16,3456,5120,12.605,44.92,804.90,2062,462.8,CUTLASS
tp8,32,3456,5120,8.173,138.56,1259.92,2062,458.5,CUBLASLT
tp8,32,3456,5120,12.509,90.53,823.19,2062,458.5,CUTLASS
tp8,64,3456,5120,8.349,271.28,1269.67,2062,454.3,CUBLASLT
tp8,64,3456,5120,12.592,179.87,841.84,2062,454.3,CUTLASS
tp8,128,3456,5120,8.314,544.85,1347.93,2062,449.2,CUBLASLT
tp8,128,3456,5120,12.874,351.86,870.49,2062,450.7,CUTLASS
tp8,129,3456,5120,8.151,560.08,1381.07,2062,483.9,CUBLASLT
tp8,129,3456,5120,12.656,360.72,889.47,2062,523.3,CUTLASS
tp8,256,3456,5120,8.323,1088.51,1497.06,2062,443.6,CUBLASLT
tp8,256,3456,5120,13.050,694.23,954.79,2062,446.1,CUTLASS
tp8,257,3456,5120,8.186,1111.05,1528.28,2062,451.4,CUBLASLT
