variant,E,n,k,T,sum_m,us,tflops,gbps,sm_mhz,power_w,backend
tp1,257,3072,5120,1,9,32.576,8.69,2458.04,2062,214.6,CUTLASS
tp1,257,3072,5120,1,9,47.767,5.93,1676.33,2062,223.9,CUBLASLT
tp1,257,3072,5120,2,18,46.074,12.29,3282.94,2062,234.9,CUTLASS
tp1,257,3072,5120,2,18,59.255,9.56,2552.66,2062,241.4,CUBLASLT
tp1,257,3072,5120,4,36,68.800,16.46,3880.28,2062,253.3,CUTLASS
tp1,257,3072,5120,4,36,81.780,13.85,3264.40,2062,260.4,CUBLASLT
tp1,257,3072,5120,8,72,107.357,21.10,4559.41,2062,274.0,CUTLASS
tp1,257,3072,5120,8,72,118.340,19.14,4136.25,2062,281.4,CUBLASLT
tp1,257,3072,5120,16,144,181.827,24.91,4944.12,2062,304.8,CUTLASS
tp1,257,3072,5120,16,144,183.696,24.66,4893.81,2062,304.8,CUBLASLT
tp1,257,3072,5120,32,288,269.611,33.60,5415.92,2062,327.7,CUTLASS
tp1,257,3072,5120,32,288,274.711,32.98,5315.37,2062,333.7,CUBLASLT
tp1,257,3072,5120,64,576,354.913,51.05,5673.99,2062,357.0,CUTLASS
tp1,257,3072,5120,64,576,364.270,49.74,5528.25,2062,383.1,CUBLASLT
tp1,257,3072,5120,128,1152,393.176,92.17,5722.33,2062,406.1,CUTLASS
tp1,257,3072,5120,128,1152,406.977,89.04,5528.28,2062,408.5,CUBLASLT
tp1,257,3072,5120,256,2304,401.006,180.74,5746.53,2062,425.6,CUTLASS
tp1,257,3072,5120,256,2304,421.614,171.91,5465.65,2062,431.0,CUBLASLT
tp1,257,3072,5120,1024,9216,410.132,706.87,5765.95,2062,441.8,CUTLASS
tp1,257,3072,5120,1024,9216,431.048,672.57,5486.17,2062,447.0,CUBLASLT
tp1,257,3072,5120,2048,18432,414.443,1399.04,5900.32,2062,457.0,CUTLASS
tp1,257,3072,5120,2048,18432,387.134,1497.73,6316.53,2062,461.1,CUBLASLT
tp1,257,3072,5120,4096,36864,560.104,2070.40,4662.18,2062,481.2,CUTLASS
tp1,257,3072,5120,4096,36864,562.354,2062.12,4643.53,2062,485.9,CUBLASLT
tp1,257,3072,5120,8192,73728,886.534,2616.12,3320.76,2062,530.9,CUTLASS
tp1,257,3072,5120,8192,73728,643.593,3603.65,4574.27,2062,550.6,CUBLASLT
tp4,257,768,5120,1,9,17.424,4.06,1165.75,2062,222.5,CUTLASS
tp4,257,768,5120,1,9,36.560,1.94,555.58,2062,229.3,CUBLASLT
tp4,257,768,5120,2,18,19.667,7.20,1951.05,2062,234.1,CUTLASS
tp4,257,768,5120,2,18,38.621,3.67,993.54,2062,245.3,CUBLASLT
tp4,257,768,5120,4,36,27.030,10.47,2505.79,2062,251.8,CUTLASS
tp4,257,768,5120,4,36,45.158,6.27,1499.88,2062,261.5,CUBLASLT
tp4,257,768,5120,8,72,38.723,14.62,3207.37,2062,275.6,CUTLASS
tp4,257,768,5120,8,72,54.285,10.43,2287.90,2062,281.2,CUBLASLT
tp4,257,768,5120,16,144,55.162,20.53,4135.50,2062,301.9,CUTLASS
tp4,257,768,5120,16,144,69.747,16.24,3270.72,2062,301.9,CUBLASLT
tp4,257,768,5120,32,288,81.418,27.82,4552.30,2062,321.8,CUTLASS
tp4,257,768,5120,32,288,98.871,22.91,3748.71,2062,330.2,CUBLASLT
tp4,257,768,5120,64,576,99.943,45.32,5117.84,2062,341.7,CUTLASS
tp4,257,768,5120,64,576,117.821,38.45,4341.26,2062,352.3,CUBLASLT
tp4,257,768,5120,128,1152,109.367,82.84,5233.98,2062,372.3,CUTLASS
tp4,257,768,5120,128,1152,125.696,72.08,4554.04,2062,376.4,CUBLASLT
tp4,257,768,5120,256,2304,116.065,156.11,5069.98,2062,388.6,CUTLASS
tp4,257,768,5120,256,2304,129.428,140.00,4546.53,2062,403.3,CUBLASLT
tp4,257,768,5120,1024,9216,119.728,605.35,5153.39,2062,403.2,CUTLASS
tp4,257,768,5120,1024,9216,136.346,531.57,4525.29,2062,403.1,CUBLASLT
tp4,257,768,5120,2048,18432,124.186,1167.24,5275.00,2062,410.3,CUTLASS
tp4,257,768,5120,2048,18432,134.944,1074.19,4854.47,2062,410.3,CUBLASLT
tp4,257,768,5120,4096,36864,155.789,1860.92,4725.04,2062,409.8,CUTLASS
tp4,257,768,5120,4096,36864,229.546,1262.97,3206.80,2062,410.8,CUBLASLT
tp4,257,768,5120,8192,73728,238.154,2434.65,3774.45,2062,420.9,CUTLASS
tp4,257,768,5120,8192,73728,240.228,2413.63,3741.86,2062,432.5,CUBLASLT
