variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
nsa,1,32768,512,9.818,3.42,968.33,2062,416.4,CUTLASS
nsa,1,32768,512,6.304,5.32,1508.10,2062,417.7,CUBLASLT
nsa,2,32768,512,9.942,6.75,962.87,2062,418.0,CUTLASS
nsa,2,32768,512,6.269,10.70,1527.02,2062,419.1,CUBLASLT
nsa,4,32768,512,9.837,13.64,986.53,2062,433.3,CUTLASS
nsa,4,32768,512,6.406,20.95,1514.90,2062,433.3,CUBLASLT
nsa,8,32768,512,9.654,27.81,1032.49,2062,434.1,CUTLASS
nsa,8,32768,512,6.339,42.35,1572.43,2062,434.9,CUBLASLT
nsa,16,32768,512,9.600,55.92,1093.12,2062,434.9,CUTLASS
nsa,16,32768,512,6.326,84.87,1658.86,2062,442.1,CUBLASLT
nsa,32,32768,512,10.227,104.99,1129.03,2062,442.1,CUTLASS
nsa,32,32768,512,6.394,167.93,1805.85,2062,443.3,CUBLASLT
nsa,64,32768,512,10.128,212.03,1347.94,2062,448.3,CUTLASS
nsa,64,32768,512,6.474,331.71,2108.74,2062,448.3,CUBLASLT
nsa,128,32768,512,11.424,375.96,1563.61,2062,448.9,CUTLASS
nsa,128,32768,512,6.483,662.50,2755.31,2062,449.2,CUBLASLT
nsa,256,32768,512,11.274,761.92,2331.75,2062,447.5,CUTLASS
nsa,256,32768,512,7.786,1103.25,3376.33,2062,444.7,CUBLASLT
nsa,1024,32768,512,16.246,2114.97,4729.84,2062,443.0,CUTLASS
nsa,1024,32768,512,15.274,2249.56,5030.83,2062,439.8,CUBLASLT
nsa,2048,32768,512,28.563,2405.89,5050.06,2062,440.4,CUTLASS
nsa,2048,32768,512,27.469,2501.71,5251.18,2062,443.7,CUBLASLT
nsa,4096,32768,512,52.384,2623.68,5327.05,2062,439.6,CUTLASS
nsa,4096,32768,512,51.946,2645.80,5371.97,2062,436.1,CUBLASLT
nsa,8192,32768,512,95.588,2875.65,5739.92,2062,436.9,CUTLASS
nsa,8192,32768,512,101.597,2705.57,5400.43,2062,436.7,CUBLASLT
nsa,16384,32768,512,181.671,3026.11,5988.28,2062,430.4,CUTLASS
nsa,16384,32768,512,196.534,2797.26,5535.42,2062,430.4,CUBLASLT
swa,1,20480,1024,10.205,4.11,1160.82,2062,440.3,CUTLASS
swa,1,20480,1024,7.066,5.94,1676.50,2062,440.3,CUBLASLT
swa,2,20480,1024,10.208,8.22,1164.54,2062,436.3,CUTLASS
swa,2,20480,1024,7.370,11.38,1612.97,2062,435.7,CUBLASLT
swa,4,20480,1024,10.378,16.17,1153.46,2062,435.3,CUTLASS
swa,4,20480,1024,7.027,23.88,1703.51,2062,434.1,CUBLASLT
swa,8,20480,1024,10.403,32.25,1166.63,2062,434.0,CUTLASS
swa,8,20480,1024,7.280,46.09,1667.09,2062,431.1,CUBLASLT
swa,16,20480,1024,10.269,65.35,1214.16,2062,431.1,CUTLASS
swa,16,20480,1024,6.970,96.28,1788.84,2062,430.1,CUBLASLT
swa,32,20480,1024,10.272,130.66,1278.40,2062,429.8,CUTLASS
swa,32,20480,1024,7.254,185.03,1810.28,2062,431.0,CUBLASLT
swa,64,20480,1024,10.352,259.31,1396.72,2062,435.4,CUTLASS
swa,64,20480,1024,7.414,362.07,1950.21,2062,435.4,CUBLASLT
swa,128,20480,1024,11.219,478.54,1525.37,2062,435.0,CUTLASS
swa,128,20480,1024,7.418,723.74,2306.97,2062,435.0,CUBLASLT
swa,256,20480,1024,11.312,949.21,1982.82,2062,435.0,CUTLASS
swa,256,20480,1024,7.581,1416.36,2958.67,2062,435.0,CUBLASLT
swa,1024,20480,1024,16.598,2587.64,3273.25,2062,436.8,CUTLASS
swa,1024,20480,1024,14.781,2905.74,3675.62,2062,438.0,CUBLASLT
swa,2048,20480,1024,26.275,3269.24,3686.48,2062,439.5,CUTLASS
swa,2048,20480,1024,22.797,3768.01,4248.90,2062,442.8,CUBLASLT
swa,4096,20480,1024,44.525,3858.48,4085.97,2062,442.6,CUTLASS
swa,4096,20480,1024,41.194,4170.48,4416.37,2062,436.7,CUBLASLT
swa,8192,20480,1024,85.015,4041.61,4141.14,2062,436.7,CUTLASS
swa,8192,20480,1024,82.912,4144.12,4246.18,2062,433.2,CUBLASLT
swa,16384,20480,1024,162.615,4225.90,4257.43,2062,433.1,CUTLASS
swa,16384,20480,1024,160.100,4292.28,4324.31,2062,436.6,CUBLASLT
