m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
128,2048,7168,9.723,386.52,856.02,2062,190.5,cutlass_mxfp4_bf16
128,24576,1536,6.846,1411.58,3690.35,2062,196.2,cutlass_mxfp4_bf16
512,2048,7168,9.069,1657.56,1242.94,2062,196.2,cutlass_mxfp4_bf16
512,7168,2048,7.835,1918.62,1940.57,2062,209.9,cutlass_mxfp4_bf16
1024,1024,1024,4.555,471.46,690.61,2062,209.9,cutlass_mxfp4_bf16
1024,2048,8192,10.532,3262.41,1592.98,2062,215.7,cutlass_mxfp4_bf16
1024,4096,4096,10.652,3225.66,1771.91,2062,217.3,cutlass_mxfp4_bf16
1024,4096,16384,25.848,5317.20,1947.22,2062,227.2,cutlass_mxfp4_bf16
1024,7168,2048,11.522,2609.34,2002.14,2062,240.7,cutlass_mxfp4_bf16
1024,8192,2048,11.121,3089.63,2357.20,2062,244.1,cutlass_mxfp4_bf16
1024,8192,8192,25.823,5322.35,2111.53,2062,244.8,cutlass_mxfp4_bf16
1024,11008,4096,21.996,4198.12,2145.20,2062,255.7,cutlass_mxfp4_bf16
1024,16384,4096,29.002,4738.95,2386.25,2062,262.4,cutlass_mxfp4_bf16
1536,1536,1536,5.251,1380.26,1347.91,2062,263.4,cutlass_mxfp4_bf16
2048,2048,2048,7.943,2162.89,1584.15,2062,268.9,cutlass_mxfp4_bf16
2048,2048,8192,17.547,3916.31,1434.20,2062,268.6,cutlass_mxfp4_bf16
2048,4096,4096,16.730,4107.56,1754.94,2062,262.3,cutlass_mxfp4_bf16
2048,4096,16384,56.018,4906.96,1197.99,2062,263.4,cutlass_mxfp4_bf16
2048,8192,2048,19.222,3575.04,2291.13,2062,279.0,cutlass_mxfp4_bf16
2048,8192,8192,59.166,4645.88,1276.03,2062,280.4,cutlass_mxfp4_bf16
2048,11008,4096,36.320,5084.90,1977.63,2062,281.6,cutlass_mxfp4_bf16
2048,16384,4096,53.341,5153.22,1965.80,2062,295.4,cutlass_mxfp4_bf16
3072,3072,3072,13.757,4214.73,2057.97,2062,297.7,cutlass_mxfp4_bf16
4096,2048,8192,25.026,5491.85,1675.98,2062,300.0,cutlass_mxfp4_bf16
4096,4096,4096,27.236,5046.22,1847.98,2062,302.9,cutlass_mxfp4_bf16
4096,4096,7168,42.285,5688.03,1487.87,2062,304.9,cutlass_mxfp4_bf16
4096,4096,16384,97.360,5646.63,1033.93,2062,298.1,cutlass_mxfp4_bf16
4096,8192,2048,31.824,4318.72,2504.14,2062,321.4,cutlass_mxfp4_bf16
4096,8192,8192,90.125,6099.93,1303.08,2062,326.2,cutlass_mxfp4_bf16
4096,11008,4096,87.975,4198.55,1376.65,2062,324.8,cutlass_mxfp4_bf16
4096,16384,4096,129.564,4243.12,1359.64,2062,324.8,cutlass_mxfp4_bf16
5120,5120,5120,55.120,4870.02,1426.76,2062,346.8,cutlass_mxfp4_bf16
