m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
128,2048,7168,9.706,387.19,911.54,2062,178.6,cutlass_mxfp4_fp32
128,24576,1536,6.858,1409.11,4601.28,2062,184.1,cutlass_mxfp4_fp32
512,2048,7168,9.074,1656.64,1473.37,2062,184.1,cutlass_mxfp4_fp32
512,7168,2048,7.847,1915.69,2872.99,2062,184.1,cutlass_mxfp4_fp32
1024,1024,1024,4.551,471.87,1152.03,2062,192.9,cutlass_mxfp4_fp32
1024,2048,8192,10.486,3276.73,1999.95,2062,192.9,cutlass_mxfp4_fp32
1024,4096,4096,10.647,3227.18,2560.63,2062,192.9,cutlass_mxfp4_fp32
1024,4096,16384,30.966,4438.38,1896.28,2062,203.4,cutlass_mxfp4_fp32
1024,7168,2048,11.540,2605.27,3271.12,2062,203.4,cutlass_mxfp4_fp32
1024,8192,2048,12.004,2862.36,3581.44,2062,203.4,cutlass_mxfp4_fp32
1024,8192,8192,25.862,5314.32,2757.06,2062,217.3,cutlass_mxfp4_fp32
1024,11008,4096,21.935,4209.79,3178.95,2062,221.9,cutlass_mxfp4_fp32
1024,16384,4096,29.231,4701.82,3515.46,2062,221.9,cutlass_mxfp4_fp32
1536,1536,1536,5.245,1381.84,2249.09,2062,229.4,cutlass_mxfp4_fp32
2048,2048,2048,7.952,2160.45,2637.26,2062,251.6,cutlass_mxfp4_fp32
2048,2048,8192,17.509,3924.81,1916.41,2062,251.6,cutlass_mxfp4_fp32
2048,4096,4096,16.740,4105.11,2756.11,2062,251.6,cutlass_mxfp4_fp32
2048,4096,16384,55.667,4937.90,1506.93,2062,264.4,cutlass_mxfp4_fp32
2048,8192,2048,19.192,3580.63,4043.07,2062,264.4,cutlass_mxfp4_fp32
2048,8192,8192,58.771,4677.10,1855.54,2062,264.4,cutlass_mxfp4_fp32
2048,11008,4096,36.150,5108.81,3234.20,2062,300.0,cutlass_mxfp4_fp32
2048,16384,4096,52.794,5206.61,3257.31,2062,300.0,cutlass_mxfp4_fp32
3072,3072,3072,13.769,4211.06,3426.97,2062,300.0,cutlass_mxfp4_fp32
4096,2048,8192,25.556,5377.95,2297.71,2062,338.2,cutlass_mxfp4_fp32
4096,4096,4096,27.093,5072.86,3096.23,2062,338.2,cutlass_mxfp4_fp32
4096,4096,7168,42.057,5718.86,2293.77,2062,338.2,cutlass_mxfp4_fp32
4096,4096,16384,96.260,5711.16,1394.33,2062,369.1,cutlass_mxfp4_fp32
4096,8192,2048,31.547,4356.64,4653.39,2062,369.1,cutlass_mxfp4_fp32
4096,8192,8192,88.832,6188.71,2077.51,2062,369.1,cutlass_mxfp4_fp32
4096,11008,4096,87.938,4200.31,2402.69,2062,412.7,cutlass_mxfp4_fp32
4096,16384,4096,129.741,4237.33,2392.29,2062,412.7,cutlass_mxfp4_fp32
5120,5120,5120,55.381,4847.07,2366.73,2062,412.7,cutlass_mxfp4_fp32
6144,6144,6144,92.904,4992.86,2031.60,2062,455.6,cutlass_mxfp4_fp32
8192,2048,8192,49.859,5513.11,2187.21,2062,455.6,cutlass_mxfp4_fp32
8192,4096,4096,53.710,5117.82,2967.48,2062,455.6,cutlass_mxfp4_fp32
8192,4096,16384,206.801,5316.76,1135.78,2062,493.1,cutlass_mxfp4_fp32
8192,8192,2048,71.842,3826.14,3970.00,2062,493.1,cutlass_mxfp4_fp32
8192,8192,8192,197.861,5556.99,1695.86,2062,549.7,cutlass_mxfp4_fp32
8192,11008,4096,138.943,5316.82,2879.11,2062,549.7,cutlass_mxfp4_fp32
8192,16384,4096,202.461,5430.73,2900.32,2062,581.1,cutlass_mxfp4_fp32
12288,12288,12288,743.890,4988.44,1014.90,2062,611.3,cutlass_mxfp4_fp32
16384,2048,8192,108.049,5088.02,1940.93,2062,642.3,cutlass_mxfp4_fp32
16384,4096,4096,103.644,5304.27,2994.66,2062,585.9,cutlass_mxfp4_fp32
16384,4096,16384,343.670,6398.65,1269.26,2062,595.4,cutlass_mxfp4_fp32
16384,8192,2048,120.282,4570.56,4672.66,2062,601.7,cutlass_mxfp4_fp32
16384,8192,8192,347.080,6335.78,1836.85,2062,592.7,cutlass_mxfp4_fp32
16384,11008,4096,273.132,5409.36,2846.68,2062,506.9,cutlass_mxfp4_fp32
16384,16384,4096,391.559,5616.07,2913.61,2062,506.9,cutlass_mxfp4_fp32
16384,16384,16384,2052.000,4286.60,654.08,2020,607.2,cutlass_mxfp4_fp32
16384,12288,8192,549.973,5997.63,1677.80,2062,681.6,cutlass_mxfp4_fp32
16384,12288,12288,1044.000,4739.27,940.10,1747,850.2,cutlass_mxfp4_fp32
16384,12288,16384,1408.000,4685.42,738.77,2062,868.1,cutlass_mxfp4_fp32
16384,16384,6144,580.277,5684.41,2023.87,2062,958.5,cutlass_mxfp4_fp32
32768,16384,32768,8036.000,4378.34,367.45,1056,1069.1,cutlass_mxfp4_fp32
32768,32768,16384,8360.000,4208.66,577.97,1063,1109.8,cutlass_mxfp4_fp32
32768,32768,32768,17156.000,4101.70,312.93,1153,1194.9,cutlass_mxfp4_fp32
16384,16384,32768,4089.000,4302.32,393.89,1696,1081.8,cutlass_mxfp4_fp32
32768,16384,32768,7898.000,4454.85,373.87,1296,1148.7,cutlass_mxfp4_fp32
32768,32768,8192,4110.000,4280.34,1110.32,1272,1154.1,cutlass_mxfp4_fp32
32768,32768,6144,3143.000,4197.94,1430.57,1245,1078.8,cutlass_mxfp4_fp32
32768,8192,16384,1564.000,5624.10,901.08,2062,1143.2,cutlass_mxfp4_fp32
32768,8192,32768,3552.000,4952.76,491.22,1144,1069.5,cutlass_mxfp4_fp32
32768,12288,16384,2715.000,4859.72,729.18,1207,1119.0,cutlass_mxfp4_fp32
32768,12288,32768,5552.000,4752.93,423.06,1123,1107.5,cutlass_mxfp4_fp32
