seg,cum_run_ms,seg_ms,kernel_us,tflops,sm_mhz,power_w
0,26.6,26.588,1329.4,6616.7,2062,327.393
1,55.4,28.827,1441.4,6102.6,2062,339.579
2,86.3,30.874,1543.7,5698.1,2062,339.579
3,117.9,31.635,1581.8,5560.9,2062,339.579
4,149.7,31.802,1590.1,5531.7,1200,455.533
5,181.1,31.405,1570.2,5601.7,1200,455.533
6,212.1,30.949,1547.5,5684.2,1200,455.533
7,242.8,30.689,1534.5,5732.4,1200,455.533
8,273.8,30.990,1549.5,5676.7,1207,553.262
9,305.1,31.355,1567.7,5610.7,1207,553.262
10,336.4,31.274,1563.7,5625.1,1200,654.166
11,367.4,30.970,1548.5,5680.5,1200,654.166
12,398.5,31.169,1558.4,5644.2,1200,654.166
13,429.8,31.226,1561.3,5633.9,1200,654.166
14,461.0,31.236,1561.8,5632.0,1207,652.042
15,492.2,31.234,1561.7,5632.4,1207,652.042
16,523.4,31.218,1560.9,5635.3,1207,652.042
17,554.7,31.226,1561.3,5633.9,1207,738.27
18,585.9,31.221,1561.0,5634.8,1207,738.27
19,617.3,31.368,1568.4,5608.3,1207,738.27
20,650.4,33.153,1657.7,5306.3,1207,849.91
21,684.7,34.312,1715.6,5127.1,1207,849.91
22,719.0,34.265,1713.3,5134.1,1207,849.91
23,752.4,33.414,1670.7,5264.9,1087,940.485
24,785.6,33.235,1661.8,5293.2,1087,940.485
25,818.9,33.259,1663.0,5289.4,1087,940.485
26,852.2,33.257,1662.9,5289.8,1125,1050.412
27,885.3,33.180,1659.0,5302.0,1125,1050.412
28,918.3,32.929,1646.4,5342.5,1125,1050.412
29,951.0,32.741,1637.1,5373.1,1140,1124.621
30,983.5,32.525,1626.3,5408.8,1140,1124.621
31,1016.2,32.655,1632.8,5387.2,1140,1124.621
32,1048.7,32.529,1626.5,5408.1,1155,1210.308
33,1080.9,32.139,1606.9,5473.8,1155,1210.308
34,1113.0,32.155,1607.7,5471.1,1155,1210.308
35,1145.3,32.324,1616.2,5442.5,1155,1194.264
36,1177.4,32.113,1605.6,5478.3,1155,1194.264
37,1209.7,32.218,1610.9,5460.4,1155,1194.264
38,1241.9,32.246,1612.3,5455.6,1162,1190.633
39,1273.8,31.930,1596.5,5509.6,1162,1190.633
40,1305.6,31.718,1585.9,5546.5,1162,1190.633
41,1337.4,31.847,1592.4,5523.9,1192,1186.907
42,1369.2,31.814,1590.7,5529.6,1192,1186.907
43,1401.3,32.078,1603.9,5484.2,1192,1186.907
44,1433.6,32.301,1615.1,5446.3,1192,1186.907
45,1465.9,32.263,1613.2,5452.7,1162,1183.731
46,1497.5,31.689,1584.4,5551.6,1162,1183.731
47,1530.1,32.594,1629.7,5397.4,1162,1183.731
48,1562.9,32.726,1636.3,5375.6,1162,1178.732
49,1595.5,32.677,1633.9,5383.6,1162,1178.732
50,1628.2,32.616,1630.8,5393.7,1162,1178.732
51,1660.7,32.587,1629.4,5398.5,1162,1172.202
52,1693.0,32.239,1612.0,5456.8,1162,1172.202
53,1724.2,31.247,1562.3,5630.1,1162,1172.202
54,1756.2,31.951,1597.5,5506.0,1162,1171.823
55,1788.6,32.405,1620.2,5428.9,1162,1171.823
56,1818.6,30.008,1500.4,5862.5,1162,1171.823
57,1848.8,30.211,1510.6,5823.0,1177,1175.306
58,1879.7,30.888,1544.4,5695.5,1177,1175.306
59,1911.3,31.609,1580.5,5565.5,1177,1175.306
60,1943.2,31.918,1595.9,5511.7,1185,1182.578
61,1975.3,32.046,1602.3,5489.6,1185,1182.578
62,2006.7,31.428,1571.4,5597.5,1185,1182.578
63,2038.1,31.427,1571.3,5597.9,1192,1182.453
64,2069.9,31.777,1588.8,5536.2,1192,1182.453
65,2101.9,31.996,1599.8,5498.3,1192,1182.453
66,2133.5,31.609,1580.4,5565.6,1192,1182.453
67,2165.1,31.611,1580.5,5565.2,1185,1182.294
68,2196.9,31.785,1589.2,5534.8,1185,1182.294
69,2228.3,31.447,1572.4,5594.2,1185,1182.294
70,2260.4,32.065,1603.3,5486.4,1207,1181.997
71,2292.5,32.069,1603.4,5485.7,1207,1181.997
72,2323.9,31.439,1571.9,5595.7,1207,1181.997
73,2355.5,31.529,1576.4,5579.7,1200,1179.106
74,2387.5,32.027,1601.3,5493.0,1200,1179.106
75,2419.5,32.061,1603.1,5487.0,1200,1179.106
76,2451.1,31.586,1579.3,5569.6,1177,1177.26
77,2482.4,31.311,1565.6,5618.5,1177,1177.26
78,2514.2,31.747,1587.3,5541.4,1177,1177.26
79,2545.7,31.519,1575.9,5581.5,1177,1177.836
80,2577.1,31.437,1571.8,5596.1,1177,1177.836
81,2608.8,31.618,1580.9,5563.9,1177,1177.836
82,2640.8,32.031,1601.5,5492.3,1192,1181.618
83,2672.2,31.429,1571.4,5597.5,1192,1181.618
84,2703.7,31.519,1575.9,5581.5,1192,1181.618
85,2735.6,31.836,1591.8,5525.8,1192,1184.298
86,2767.0,31.433,1571.6,5596.8,1192,1184.298
87,2798.6,31.629,1581.5,5562.0,1192,1184.298
88,2830.5,31.869,1593.4,5520.2,1192,1184.298
89,2862.3,31.845,1592.2,5524.4,1177,1186.633
90,2893.7,31.318,1565.9,5617.3,1177,1186.633
91,2925.4,31.718,1585.9,5546.5,1177,1186.633
92,2957.4,32.035,1601.8,5491.5,1200,1181.813
93,2989.5,32.035,1601.8,5491.5,1200,1181.813
94,3020.7,31.243,1562.1,5630.8,1200,1181.813
95,3052.5,31.813,1590.7,5529.9,1200,1182.35
