m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
128,2048,7168,6.663,564.02,1249.15,2062,181.2,cublaslt_nvfp4_bf16
128,24576,1536,5.508,1754.48,4586.81,2062,186.3,cublaslt_nvfp4_bf16
512,2048,7168,6.979,2153.95,1615.16,2062,186.3,cublaslt_nvfp4_bf16
512,7168,2048,6.037,2490.04,2518.53,2062,202.3,cublaslt_nvfp4_bf16
1024,1024,1024,3.376,636.10,931.79,2062,202.3,cublaslt_nvfp4_bf16
1024,2048,8192,8.251,4164.31,2033.36,2062,209.2,cublaslt_nvfp4_bf16
1024,4096,4096,8.403,4088.98,2246.15,2062,216.4,cublaslt_nvfp4_bf16
1024,4096,16384,23.124,5943.56,2176.60,2062,216.4,cublaslt_nvfp4_bf16
1024,7168,2048,8.465,3551.66,2725.18,2062,233.1,cublaslt_nvfp4_bf16
1024,8192,2048,8.902,3859.78,2944.78,2062,233.1,cublaslt_nvfp4_bf16
1024,8192,8192,23.428,5866.44,2327.38,2062,233.1,cublaslt_nvfp4_bf16
1024,11008,4096,18.227,5066.21,2588.79,2062,233.1,cublaslt_nvfp4_bf16
1024,16384,4096,24.713,5561.40,2800.39,2062,257.0,cublaslt_nvfp4_bf16
1536,1536,1536,3.915,1851.28,1807.89,2062,263.9,cublaslt_nvfp4_bf16
2048,2048,2048,6.070,2830.29,2072.97,2062,263.9,cublaslt_nvfp4_bf16
2048,2048,8192,13.351,5147.14,1884.94,2062,268.8,cublaslt_nvfp4_bf16
2048,4096,4096,13.659,5031.08,2149.51,2062,272.6,cublaslt_nvfp4_bf16
2048,4096,16384,43.310,6346.75,1549.50,2062,272.6,cublaslt_nvfp4_bf16
2048,8192,2048,14.820,4636.94,2971.67,2062,281.6,cublaslt_nvfp4_bf16
2048,8192,8192,45.264,6072.77,1667.94,2062,281.6,cublaslt_nvfp4_bf16
2048,11008,4096,33.825,5459.97,2123.50,2062,281.6,cublaslt_nvfp4_bf16
2048,16384,4096,44.888,6123.64,2335.98,2062,281.6,cublaslt_nvfp4_bf16
3072,3072,3072,11.602,4997.59,2440.23,2062,333.1,cublaslt_nvfp4_bf16
4096,2048,8192,22.985,5979.51,1824.80,2062,333.1,cublaslt_nvfp4_bf16
4096,4096,4096,24.109,5700.73,2087.67,2062,350.3,cublaslt_nvfp4_bf16
4096,4096,7168,39.748,6051.08,1582.84,2062,354.9,cublaslt_nvfp4_bf16
4096,4096,16384,93.564,5875.72,1075.88,2062,369.6,cublaslt_nvfp4_bf16
4096,8192,2048,24.599,5587.18,3239.63,2062,388.4,cublaslt_nvfp4_bf16
4096,8192,8192,88.095,6240.49,1333.11,2062,370.5,cublaslt_nvfp4_bf16
4096,11008,4096,70.398,5246.84,1720.37,2062,387.8,cublaslt_nvfp4_bf16
4096,16384,4096,93.255,5895.19,1889.02,2062,396.3,cublaslt_nvfp4_bf16
5120,5120,5120,44.235,6068.40,1777.85,2062,416.4,cublaslt_nvfp4_bf16
6144,6144,6144,76.142,6091.99,1487.30,2062,386.3,cublaslt_nvfp4_bf16
8192,2048,8192,45.291,6069.15,1666.94,2062,384.0,cublaslt_nvfp4_bf16
8192,4096,4096,43.626,6300.78,2115.13,2062,382.1,cublaslt_nvfp4_bf16
8192,4096,16384,164.599,6679.94,1019.28,2062,404.3,cublaslt_nvfp4_bf16
8192,8192,2048,51.339,5354.17,2941.14,2062,404.3,cublaslt_nvfp4_bf16
8192,8192,8192,160.354,6856.78,1255.51,2062,404.3,cublaslt_nvfp4_bf16
8192,11008,4096,127.749,5782.70,1719.60,2062,433.1,cublaslt_nvfp4_bf16
8192,16384,4096,169.906,6471.29,1876.14,2062,481.1,cublaslt_nvfp4_bf16
12288,12288,12288,543.514,6827.52,833.44,1845,508.2,cublaslt_nvfp4_bf16
16384,2048,8192,90.420,6080.02,1577.15,1597,548.8,cublaslt_nvfp4_bf16
16384,4096,4096,91.528,6006.42,1924.67,1597,548.8,cublaslt_nvfp4_bf16
16384,4096,16384,319.382,6885.24,945.54,1762,635.0,cublaslt_nvfp4_bf16
16384,8192,2048,101.182,5433.34,2901.71,1762,635.0,cublaslt_nvfp4_bf16
16384,8192,8192,314.097,7001.10,1175.11,1762,635.0,cublaslt_nvfp4_bf16
16384,11008,4096,230.429,6411.82,1808.84,2062,702.1,cublaslt_nvfp4_bf16
16384,16384,4096,372.144,5909.07,1622.97,2062,702.1,cublaslt_nvfp4_bf16
16384,16384,16384,1428.000,6159.73,563.94,2062,875.7,cublaslt_nvfp4_bf16
16384,12288,8192,477.577,6906.81,1089.03,1207,917.1,cublaslt_nvfp4_bf16
16384,12288,12288,765.335,6464.88,756.29,2062,983.2,cublaslt_nvfp4_bf16
16384,12288,16384,1101.000,5991.89,579.05,1215,1042.3,cublaslt_nvfp4_bf16
16384,16384,6144,479.646,6877.02,1329.18,1155,1049.9,cublaslt_nvfp4_bf16
32768,16384,32768,6232.000,5645.76,301.52,1150,1055.3,cublaslt_nvfp4_bf16
32768,32768,16384,6097.000,5770.77,440.27,1237,1132.0,cublaslt_nvfp4_bf16
32768,32768,32768,12647.000,5564.07,254.70,1164,1169.2,cublaslt_nvfp4_bf16
16384,16384,32768,3124.000,5631.30,343.71,1182,1145.3,cublaslt_nvfp4_bf16
32768,16384,32768,6241.000,5637.62,301.08,1172,1128.2,cublaslt_nvfp4_bf16
32768,32768,8192,3081.000,5709.89,784.13,1222,1146.0,cublaslt_nvfp4_bf16
32768,32768,6144,2169.000,6083.05,1082.90,1455,1186.2,cublaslt_nvfp4_bf16
32768,8192,16384,1561.000,5634.91,558.88,1333,1152.3,cublaslt_nvfp4_bf16
32768,8192,32768,3083.000,5706.19,391.81,1185,1096.7,cublaslt_nvfp4_bf16
32768,12288,16384,2200.000,5997.34,533.82,1252,1040.8,cublaslt_nvfp4_bf16
32768,12288,32768,4603.000,5732.84,335.33,1184,1066.7,cublaslt_nvfp4_bf16
