m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
128,2048,7168,7.355,510.96,1202.90,2062,180.7,cublaslt_nvfp4_fp32
128,24576,1536,6.961,1388.26,4533.20,2062,184.3,cublaslt_nvfp4_fp32
512,2048,7168,7.674,1958.87,1742.16,2062,184.3,cublaslt_nvfp4_fp32
512,7168,2048,7.502,2003.78,3005.12,2062,184.3,cublaslt_nvfp4_fp32
1024,1024,1024,4.079,526.47,1285.33,2062,184.3,cublaslt_nvfp4_fp32
1024,2048,8192,8.980,3826.25,2335.36,2062,193.9,cublaslt_nvfp4_fp32
1024,4096,4096,9.841,3491.49,2770.35,2062,193.9,cublaslt_nvfp4_fp32
1024,4096,16384,24.538,5601.07,2393.03,2062,193.9,cublaslt_nvfp4_fp32
1024,7168,2048,10.326,2911.56,3655.70,2062,211.2,cublaslt_nvfp4_fp32
1024,8192,2048,11.500,2987.80,3738.40,2062,211.2,cublaslt_nvfp4_fp32
1024,8192,8192,25.604,5367.87,2784.84,2062,229.0,cublaslt_nvfp4_fp32
1024,11008,4096,21.450,4304.98,3250.83,2062,239.5,cublaslt_nvfp4_fp32
1024,16384,4096,30.334,4530.85,3387.63,2062,253.1,cublaslt_nvfp4_fp32
1536,1536,1536,4.681,1548.34,2520.08,2062,272.4,cublaslt_nvfp4_fp32
2048,2048,2048,7.513,2286.69,2791.36,2062,276.8,cublaslt_nvfp4_fp32
2048,2048,8192,14.759,4656.11,2273.49,2062,277.1,cublaslt_nvfp4_fp32
2048,4096,4096,15.465,4443.55,2983.34,2062,277.7,cublaslt_nvfp4_fp32
2048,4096,16384,49.353,5569.63,1699.72,2062,270.2,cublaslt_nvfp4_fp32
2048,8192,2048,20.328,3380.53,3817.13,2062,283.8,cublaslt_nvfp4_fp32
2048,8192,8192,52.925,5193.73,2060.50,2062,285.9,cublaslt_nvfp4_fp32
2048,11008,4096,40.937,4511.41,2856.00,2062,294.5,cublaslt_nvfp4_fp32
2048,16384,4096,56.221,4889.24,3058.76,2062,299.8,cublaslt_nvfp4_fp32
3072,3072,3072,13.784,4206.48,3423.24,2062,305.4,cublaslt_nvfp4_fp32
4096,2048,8192,25.132,5468.68,2336.47,2062,299.2,cublaslt_nvfp4_fp32
4096,4096,4096,28.552,4813.64,2938.01,2062,312.0,cublaslt_nvfp4_fp32
4096,4096,7168,41.477,5798.83,2325.84,2062,312.0,cublaslt_nvfp4_fp32
4096,4096,16384,100.121,5490.91,1340.56,2062,312.0,cublaslt_nvfp4_fp32
4096,8192,2048,35.348,3888.17,4153.01,2062,317.9,cublaslt_nvfp4_fp32
4096,8192,8192,92.960,5913.90,1985.26,2062,365.4,cublaslt_nvfp4_fp32
4096,11008,4096,80.098,4611.44,2637.87,2062,365.4,cublaslt_nvfp4_fp32
4096,16384,4096,100.448,5473.04,3089.94,2062,365.4,cublaslt_nvfp4_fp32
5120,5120,5120,54.362,4937.92,2411.10,2062,365.4,cublaslt_nvfp4_fp32
6144,6144,6144,81.636,5682.01,2312.02,2062,440.2,cublaslt_nvfp4_fp32
8192,2048,8192,53.009,5185.50,2057.23,2062,440.2,cublaslt_nvfp4_fp32
8192,4096,4096,55.449,4957.31,2874.42,2062,440.2,cublaslt_nvfp4_fp32
8192,4096,16384,173.143,6350.31,1356.57,2029,440.2,cublaslt_nvfp4_fp32
